year,rank,name,id,team,resultstring,resulttype,h,m,s,points,distance,stages,tour_avgpace_from_summary,personalavgpace
1903,1,MAURICE GARIN,1,TDF 1903,94h 33m 14s,time,94,33,14,0,2428,6,25.679,25.678478469068196
1903,2,LUCIEN POTHIER,37,TDF 1903,97h 32m 35s,time,97,32,35,0,2428,6,25.679,24.891572097791574
1903,3,FERNAND AUGEREAU,39,TDF 1903,99h 02m 38s,time,99,2,38,0,2428,6,25.679,24.514384756477206
1903,4,RODOLPHE MULLER,33,TDF 1903,99h 12m 44s,time,99,12,44,0,2428,6,25.679,24.472791210760324
1903,5,JEAN-BAPTISTE FISCHER,12,TDF 1903,99h 41m 58s,time,99,41,58,0,2428,6,25.679,24.353194880167617
1903,6,MARCEL KERFF,9,TDF 1903,101h 37m 38s,time,101,37,38,0,2428,6,25.679,23.89123649066031
1903,7,DIT SAMSON JULIEN LOOTENS,28,TDF 1903,104h 06m 22s,time,104,6,22,0,2428,6,25.679,23.322358064154628
1903,8,GEORGES PASQUIER,2,TDF 1903,105h 59m 18s,time,105,59,18,0,2428,6,25.679,22.908181718113628
1903,9,FRANÇOIS BEAUGENDRE,45,TDF 1903,106h 27m 28s,time,106,27,28,0,2428,6,25.679,22.807164029557885
1903,10,ALOIS CATTEAU,71,TDF 1903,108h 20m 11s,time,108,20,11,0,2428,6,25.679,22.411675568125002
1903,11,JEAN DARGASSIES,21,TDF 1903,109h 25m 05s,time,109,25,5,0,2428,6,25.679,22.190121983727042
1903,12,FERDINAND PAYAN,62,TDF 1903,109h 44m 27s,time,109,44,27,0,2428,6,25.679,22.124854771469145
1903,13,JULIEN GIRBE,50,TDF 1903,113h 52m 17s,time,113,52,17,0,2428,6,25.679,21.32230074377282
1903,14,ISIDORE LE CHARTIER,14,TDF 1903,114h 40m 38s,time,114,40,38,0,2428,6,25.679,21.172469588555316
1903,15,JOSEF FISCHER,48,TDF 1903,115h 49m 51s,time,115,49,51,0,2428,6,25.679,20.96160348784506
1903,16,ALEXANDRE FOUREAUX,5,TDF 1903,122h 26m 17s,time,122,26,17,0,2428,6,25.679,19.83043579860111
1903,17,RENÉ SALAIS,29,TDF 1903,123h 10m 08s,time,123,10,8,0,2428,6,25.679,19.7127701800599
1903,18,EMILE MOULIN,22,TDF 1903,140h 16m 40s,time,140,16,40,0,2428,6,25.679,17.30851485148515
1903,19,GEORGES BOROT,53,TDF 1903,142h 11m 14s,time,142,11,14,0,2428,6,25.679,17.076077315901962
1903,20,PIERRE DESVAGES,43,TDF 1903,153h 27m 30s,time,153,27,30,0,2428,6,25.679,15.821884333423839
1903,21,ARSÈNE MILLOCHEAU,67,TDF 1903,155h 30m 44s,time,155,30,44,0,2428,6,25.679,15.612920742206756
1904,1,HENRI CORNET (GEBOREN JARDY),78,TDF 1904,96h 05m 55s,time,96,5,55,0,2428,6,25.265,25.265713748897976
1904,2,JEAN-BAPTISTE DORTIGNACQ,53,TDF 1904,98h 22m 09s,time,98,22,9,0,2428,6,25.265,24.682530942114315
1904,3,ALOIS CATTEAU,14,TDF 1904,105h 07m 20s,time,105,7,20,0,2428,6,25.265,23.09692421519924
1904,4,JEAN DARGASSIES,11,TDF 1904,107h 10m 25s,time,107,10,25,0,2428,6,25.265,22.65483055789542
1904,5,JULIEN MAITRON,85,TDF 1904,113h 12m 10s,time,113,12,10,0,2428,6,25.265,21.448236939611807
1904,6,AUGUSTE DAUMAIN,95,TDF 1904,116h 50m 31s,time,116,50,31,0,2428,6,25.265,20.780208781568643
1904,7,LOUIS COLSAET,34,TDF 1904,117h 50m 15s,time,117,50,15,0,2428,6,25.265,20.604646228916938
1904,8,ACHILLE COLAS,97,TDF 1904,119h 15m 45s,time,119,15,45,0,2428,6,25.265,20.358452992348813
1904,9,RENÉ SAGET,70,TDF 1904,120h 01m 11s,time,120,1,11,0,2428,6,25.265,20.23000849397437
1904,10,GUSTAVE DRIOUL,74,TDF 1904,125h 00m 34s,time,125,0,34,0,2428,6,25.265,19.422532519765173
1904,11,HENRI PARET,30,TDF 1904,126h 24m 24s,time,126,24,24,0,2428,6,25.265,19.207847687358264
1904,12,AUGUSTE GAUTHIER,73,TDF 1904,127h 19m 47s,time,127,19,47,0,2428,6,25.265,19.068603603505334
1904,13,AUGUSTE RIST,67,TDF 1904,129h 07m 05s,time,129,7,5,0,2428,6,25.265,18.804496315817783
1904,14,NICOLAS DAMELINCOURT,80,TDF 1904,142h 44m 48s,time,142,44,48,0,2428,6,25.265,17.009153745563236
1904,15,ANTOINE DEFLOTRIERE,47,TDF 1904,196h 34m 37s,time,196,34,37,0,2428,6,25.265,12.351397600882889
1905,1,LOUIS TROUSSELIER,14,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,2,HIPPOLYTE AUCOUTURIER,13,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,3,JEAN-BAPTISTE DORTIGNACQ,31,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,4,EMILE GEORGET,50,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,5,LUCIEN MAZAN DIT PETIT-BRETON,77,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,6,AUGUSTINN RINGEVAL,22,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,7,PAUL CHAUVET,52,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,8,PHILIPPE PAUTRAT,7,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,9,JULIEN GABORY,21,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,10,JULIEN MAITRON,54,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,11,ALOIS CATTEAU,68,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,12,MARTIN SOULIE,38,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,13,LÉON LEYGOUTTE,5,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,14,CAMILLE FILY,3,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,15,ANTOINE WATTELIER,55,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,16,HENRI LIGNON,9,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,17,MAURICE DECAUP,76,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,18,MAURICE CARRERE,23,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,19,GUSTAVE GUILLARME,24,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,20,LUDO LOOS,59,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,21,PINCHAU,34,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,22,EUGÈNE VENTRESQUE,35,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,23,FERNAND LALLEMENT,32,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1905,24,CLOVIS LACROIX,40,TDF 1905,00h 00m 00s,empty,0,0,0,0,2994,11,27.107,0
1906,1,RENÉ POTTIER,48,TDF 1906,00h 00m 00s,empty,0,0,0,0,4637,13,24.463,0
1906,2,GEORGES PASSERIEU,50,TDF 1906,00h 00m 00s,empty,0,0,0,0,4637,13,24.463,0
1906,3,LOUIS TROUSSELIER,49,TDF 1906,00h 00m 00s,empty,0,0,0,0,4637,13,24.463,0
1906,4,LUCIEN MAZAN DIT PETIT-BRETON,72,TDF 1906,00h 00m 00s,empty,0,0,0,0,4637,13,24.463,0
1906,5,EMILE GEORGET,26,TDF 1906,00h 00m 00s,empty,0,0,0,0,4637,13,24.463,0
1906,6,ALOIS CATTEAU,21,TDF 1906,00h 00m 00s,empty,0,0,0,0,4637,13,24.463,0
1906,7,EDOUARD WATTELIER,1,TDF 1906,00h 00m 00s,empty,0,0,0,0,4637,13,24.463,0
1906,8,LÉON GEORGET,62,TDF 1906,00h 00m 00s,empty,0,0,0,0,4637,13,24.463,0
1906,9,EUGÈNE CHRISTOPHE,6,TDF 1906,00h 00m 00s,empty,0,0,0,0,4637,13,24.463,0
1906,10,ANTOINE WATTELIER,39,TDF 1906,00h 00m 00s,empty,0,0,0,0,4637,13,24.463,0
1906,11,GEORGES FLEURY,46,TDF 1906,00h 00m 00s,empty,0,0,0,0,4637,13,24.463,0
1906,12,FERDINAND PAYAN,28,TDF 1906,00h 00m 00s,empty,0,0,0,0,4637,13,24.463,0
