Rank,Rider,Rider No.,Team,Times,Gap,B,P,Year,Duration (seconds),Gap (seconds),Result type
1,MAURICE GARIN,1,TDF 1903 ***,94h 33' 14'',-,,,1903,340394,0,time
2,LUCIEN POTHIER,37,TDF 1903 ***,97h 32' 35'',+ 02h 59' 21'',,,1903,351155,10761,time
3,FERNAND AUGEREAU,39,TDF 1903 ***,99h 02' 38'',+ 04h 29' 24'',,,1903,356558,16164,time
4,RODOLPHE MULLER,33,TDF 1903 ***,99h 12' 44'',+ 04h 39' 30'',,,1903,357164,16770,time
5,JEAN-BAPTISTE FISCHER,12,TDF 1903 ***,99h 41' 58'',+ 05h 08' 44'',,,1903,358918,18524,time
6,MARCEL KERFF,9,TDF 1903 ***,101h 37' 38'',+ 07h 04' 24'',,,1903,365858,25464,time
7,DIT SAMSON JULIEN LOOTENS,28,TDF 1903 ***,104h 06' 22'',+ 09h 33' 08'',,,1903,374782,34388,time
8,GEORGES PASQUIER,2,TDF 1903 ***,105h 59' 18'',+ 11h 26' 04'',,,1903,381558,41164,time
9,FRANÇOIS BEAUGENDRE,45,TDF 1903 ***,106h 27' 28'',+ 11h 54' 14'',,,1903,383248,42854,time
10,ALOIS CATTEAU,71,TDF 1903 ***,108h 20' 11'',+ 13h 46' 57'',,,1903,390011,49617,time
11,JEAN DARGASSIES,21,TDF 1903 ***,109h 25' 05'',+ 14h 51' 51'',,,1903,393905,53511,time
12,FERDINAND PAYAN,62,TDF 1903 ***,109h 44' 27'',+ 15h 11' 13'',,,1903,395067,54673,time
13,JULIEN GIRBE,50,TDF 1903 ***,113h 52' 17'',+ 19h 19' 03'',,,1903,409937,69543,time
14,ISIDORE LE CHARTIER,14,TDF 1903 ***,114h 40' 38'',+ 20h 07' 24'',,,1903,412838,72444,time
15,JOSEF FISCHER,48,TDF 1903 ***,115h 49' 51'',+ 21h 16' 37'',,,1903,416991,76597,time
16,ALEXANDRE FOUREAUX,5,TDF 1903 ***,122h 26' 17'',+ 27h 53' 03'',,,1903,440777,100383,time
17,RENÉ SALAIS,29,TDF 1903 ***,123h 10' 08'',+ 28h 36' 54'',,,1903,443408,103014,time
18,EMILE MOULIN,22,TDF 1903 ***,140h 16' 40'',+ 45h 43' 26'',,,1903,505000,164606,time
19,GEORGES BOROT,53,TDF 1903 ***,142h 11' 14'',+ 47h 38' 00'',,,1903,511874,171480,time
20,PIERRE DESVAGES,43,TDF 1903 ***,153h 27' 30'',+ 58h 54' 16'',,,1903,552450,212056,time
21,ARSÈNE MILLOCHEAU,67,TDF 1903 ***,155h 30' 44'',+ 60h 57' 30'',,,1903,559844,219450,time
1,HENRI CORNET (GEBOREN JARDY),78,TDF 1904 ***,96h 05' 55'',-,,,1904,345955,0,time
2,JEAN-BAPTISTE DORTIGNACQ,53,TDF 1904 ***,98h 22' 09'',+ 02h 16' 14'',,,1904,354129,8174,time
3,ALOIS CATTEAU,14,TDF 1904 ***,105h 07' 20'',+ 09h 01' 25'',,,1904,378440,32485,time
4,JEAN DARGASSIES,11,TDF 1904 ***,107h 10' 25'',+ 11h 04' 30'',,,1904,385825,39870,time
5,JULIEN MAITRON,85,TDF 1904 ***,113h 12' 10'',+ 17h 06' 15'',,,1904,407530,61575,time
6,AUGUSTE DAUMAIN,95,TDF 1904 ***,116h 50' 31'',+ 20h 44' 36'',,,1904,420631,74676,time
7,LOUIS COLSAET,34,TDF 1904 ***,117h 50' 15'',+ 21h 44' 20'',,,1904,424215,78260,time
8,ACHILLE COLAS,97,TDF 1904 ***,119h 15' 45'',+ 23h 09' 50'',,,1904,429345,83390,time
9,RENÉ SAGET,70,TDF 1904 ***,120h 01' 11'',+ 23h 55' 16'',,,1904,432071,86116,time
10,GUSTAVE DRIOUL,74,TDF 1904 ***,125h 00' 34'',+ 28h 54' 39'',,,1904,450034,104079,time
11,HENRI PARET,30,TDF 1904 ***,126h 24' 24'',+ 30h 18' 29'',,,1904,455064,109109,time
12,AUGUSTE GAUTHIER,73,TDF 1904 ***,127h 19' 47'',+ 31h 13' 52'',,,1904,458387,112432,time
13,AUGUSTE RIST,67,TDF 1904 ***,129h 07' 05'',+ 33h 01' 10'',,,1904,464825,118870,time
14,NICOLAS DAMELINCOURT,80,TDF 1904 ***,142h 44' 48'',+ 46h 38' 53'',,,1904,513888,167933,time
15,ANTOINE DEFLOTRIERE,47,TDF 1904 ***,196h 34' 37'',+ 100h 28' 42'',,,1904,707677,361722,time
