Stages,Parcours,Winner of stage,Year,Start,Finish,Rider,Team
1.0,Paris > Lyon,MAURICE GARIN  (TDF 1903 ***),1903,Paris,Lyon,MAURICE GARIN,TDF 1903 ***
2.0,Lyon > Marseille,HIPPOLYTE AUCOUTURIER  (TDF 1903 ***),1903,Lyon,Marseille,HIPPOLYTE AUCOUTURIER,TDF 1903 ***
3.0,Marseille > Toulouse,HIPPOLYTE AUCOUTURIER  (TDF 1903 ***),1903,Marseille,Toulouse,HIPPOLYTE AUCOUTURIER,TDF 1903 ***
4.0,Toulouse > Bordeaux,CHARLES LAESER  (TDF 1903 ***),1903,Toulouse,Bordeaux,CHARLES LAESER,TDF 1903 ***
5.0,Bordeaux > Nantes,MAURICE GARIN  (TDF 1903 ***),1903,Bordeaux,Nantes,MAURICE GARIN,TDF 1903 ***
6.0,Nantes > Paris,MAURICE GARIN  (TDF 1903 ***),1903,Nantes,Paris,MAURICE GARIN,TDF 1903 ***
1.0,Paris > Lyon,MAURICE GARIN  (TDF 1904 ***),1904,Paris,Lyon,MAURICE GARIN,TDF 1904 ***
2.0,Lyon > Marseille,HIPPOLYTE AUCOUTURIER  (TDF 1904 ***),1904,Lyon,Marseille,HIPPOLYTE AUCOUTURIER,TDF 1904 ***
3.0,Marseille > Toulouse,HIPPOLYTE AUCOUTURIER  (TDF 1904 ***),1904,Marseille,Toulouse,HIPPOLYTE AUCOUTURIER,TDF 1904 ***
4.0,Toulouse > Bordeaux,LUCIEN POTHIER  (TDF 1904 ***),1904,Toulouse,Bordeaux,LUCIEN POTHIER,TDF 1904 ***
5.0,Bordeaux > Nantes,HIPPOLYTE AUCOUTURIER  (TDF 1904 ***),1904,Bordeaux,Nantes,HIPPOLYTE AUCOUTURIER,TDF 1904 ***
6.0,Ville d'Avray > Paris,HIPPOLYTE AUCOUTURIER  (TDF 1904 ***),1904,Ville d'Avray,Paris,HIPPOLYTE AUCOUTURIER,TDF 1904 ***
1.0,Paris > Nancy,LOUIS TROUSSELIER  (TDF 1905 ***),1905,Paris,Nancy,LOUIS TROUSSELIER,TDF 1905 ***
2.0,Nancy > Besançon,HIPPOLYTE AUCOUTURIER  (TDF 1905 ***),1905,Nancy,Besançon,HIPPOLYTE AUCOUTURIER,TDF 1905 ***
3.0,Besançon > Grenoble,LOUIS TROUSSELIER  (TDF 1905 ***),1905,Besançon,Grenoble,LOUIS TROUSSELIER,TDF 1905 ***
4.0,Grenoble > Toulon,HIPPOLYTE AUCOUTURIER  (TDF 1905 ***),1905,Grenoble,Toulon,HIPPOLYTE AUCOUTURIER,TDF 1905 ***
5.0,Toulon > Nimes,LOUIS TROUSSELIER  (TDF 1905 ***),1905,Toulon,Nimes,LOUIS TROUSSELIER,TDF 1905 ***
6.0,Nimes > Toulouse,JEAN-BAPTISTE DORTIGNACQ  (TDF 1905 ***),1905,Nimes,Toulouse,JEAN-BAPTISTE DORTIGNACQ,TDF 1905 ***
7.0,Toulouse > Bordeaux,LOUIS TROUSSELIER  (TDF 1905 ***),1905,Toulouse,Bordeaux,LOUIS TROUSSELIER,TDF 1905 ***
8.0,Bordeaux > La Rochelle,HIPPOLYTE AUCOUTURIER  (TDF 1905 ***),1905,Bordeaux,La Rochelle,HIPPOLYTE AUCOUTURIER,TDF 1905 ***
9.0,La Rochelle > Rennes,LOUIS TROUSSELIER  (TDF 1905 ***),1905,La Rochelle,Rennes,LOUIS TROUSSELIER,TDF 1905 ***
10.0,Rennes > Caen,JEAN-BAPTISTE DORTIGNACQ  (TDF 1905 ***),1905,Rennes,Caen,JEAN-BAPTISTE DORTIGNACQ,TDF 1905 ***
11.0,Caen > Paris,JEAN-BAPTISTE DORTIGNACQ  (TDF 1905 ***),1905,Caen,Paris,JEAN-BAPTISTE DORTIGNACQ,TDF 1905 ***
1.0,Paris > Lille,EMILE GEORGET  (TDF 1906 ***),1906,Paris,Lille,EMILE GEORGET,TDF 1906 ***
2.0,Douai > Nancy,RENÉ POTTIER  (TDF 1906 ***),1906,Douai,Nancy,RENÉ POTTIER,TDF 1906 ***
3.0,Nancy > Dijon,RENÉ POTTIER  (TDF 1906 ***),1906,Nancy,Dijon,RENÉ POTTIER,TDF 1906 ***
4.0,Dijon > Grenoble,RENÉ POTTIER  (TDF 1906 ***),1906,Dijon,Grenoble,RENÉ POTTIER,TDF 1906 ***
5.0,Grenoble > Nice,RENÉ POTTIER  (TDF 1906 ***),1906,Grenoble,Nice,RENÉ POTTIER,TDF 1906 ***
6.0,Nice > Marseille,GEORGES PASSERIEU  (TDF 1906 ***),1906,Nice,Marseille,GEORGES PASSERIEU,TDF 1906 ***
7.0,Marseille > Toulouse,LOUIS TROUSSELIER  (TDF 1906 ***),1906,Marseille,Toulouse,LOUIS TROUSSELIER,TDF 1906 ***
8.0,Toulouse > Bayonne,JEAN-BAPTISTE DORTIGNACQ  (TDF 1906 ***),1906,Toulouse,Bayonne,JEAN-BAPTISTE DORTIGNACQ,TDF 1906 ***
9.0,Bayonne > Bordeaux,LOUIS TROUSSELIER  (TDF 1906 ***),1906,Bayonne,Bordeaux,LOUIS TROUSSELIER,TDF 1906 ***
10.0,Bordeaux > Nantes,LOUIS TROUSSELIER  (TDF 1906 ***),1906,Bordeaux,Nantes,LOUIS TROUSSELIER,TDF 1906 ***
11.0,Nantes > Brest,LOUIS TROUSSELIER  (TDF 1906 ***),1906,Nantes,Brest,LOUIS TROUSSELIER,TDF 1906 ***
12.0,Brest > Caen,GEORGES PASSERIEU  (TDF 1906 ***),1906,Brest,Caen,GEORGES PASSERIEU,TDF 1906 ***
13.1,Caen > Paris,RENÉ POTTIER  (TDF 1906 ***),1906,Caen,Paris,RENÉ POTTIER,TDF 1906 ***
13.2,Caen > Paris,EMILE GEORGET  (TDF 1906 ***),1906,Caen,Paris,EMILE GEORGET,TDF 1906 ***
1.0,Paris > Roubaix,LOUIS TROUSSELIER  (TDF 1907 ***),1907,Paris,Roubaix,LOUIS TROUSSELIER,TDF 1907 ***
2.0,Roubaix > Metz,EMILE GEORGET  (TDF 1907 ***),1907,Roubaix,Metz,EMILE GEORGET,TDF 1907 ***
3.0,Metz > Belfort,EMILE GEORGET  (TDF 1907 ***),1907,Metz,Belfort,EMILE GEORGET,TDF 1907 ***
4.0,Belfort > Lyon,MARCEL CADOLLE  (TDF 1907 ***),1907,Belfort,Lyon,MARCEL CADOLLE,TDF 1907 ***
5.0,Lyon > Grenoble,EMILE GEORGET  (TDF 1907 ***),1907,Lyon,Grenoble,EMILE GEORGET,TDF 1907 ***
6.0,Grenoble > Nice,GEORGES PASSERIEU  (TDF 1907 ***),1907,Grenoble,Nice,GEORGES PASSERIEU,TDF 1907 ***
7.0,Nice > Nimes,EMILE GEORGET  (TDF 1907 ***),1907,Nice,Nimes,EMILE GEORGET,TDF 1907 ***
8.0,Nimes > Toulouse,LUCIEN MAZAN DIT PETIT-BRETON  (TDF 1907 ***),1907,Nimes,Toulouse,LUCIEN MAZAN DIT PETIT-BRETON,TDF 1907 ***
10.0,Bayonne > Bordeaux,GUSTAVE GARRIGOU  (TDF 1907 ***),1907,Bayonne,Bordeaux,GUSTAVE GARRIGOU,TDF 1907 ***
11.0,Bordeaux > Nantes,LUCIEN MAZAN DIT PETIT-BRETON  (TDF 1907 ***),1907,Bordeaux,Nantes,LUCIEN MAZAN DIT PETIT-BRETON,TDF 1907 ***
12.0,Nantes > Brest,GUSTAVE GARRIGOU  (TDF 1907 ***),1907,Nantes,Brest,GUSTAVE GARRIGOU,TDF 1907 ***
13.0,Brest > Caen,EMILE GEORGET  (TDF 1907 ***),1907,Brest,Caen,EMILE GEORGET,TDF 1907 ***
14.0,Caen > Paris,GEORGES PASSERIEU  (TDF 1907 ***),1907,Caen,Paris,GEORGES PASSERIEU,TDF 1907 ***
1.0,Paris > Roubaix,GEORGES PASSERIEU  (TDF 1908 ***),1908,Paris,Roubaix,GEORGES PASSERIEU,TDF 1908 ***
2.0,Roubaix > Metz,LUCIEN MAZAN DIT PETIT-BRETON  (TDF 1908 ***),1908,Roubaix,Metz,LUCIEN MAZAN DIT PETIT-BRETON,TDF 1908 ***
3.0,Metz > Belfort,FRANÇOIS FABER  (TDF 1908 ***),1908,Metz,Belfort,FRANÇOIS FABER,TDF 1908 ***
4.0,Belfort > Lyon,FRANÇOIS FABER  (TDF 1908 ***),1908,Belfort,Lyon,FRANÇOIS FABER,TDF 1908 ***
5.0,Lyon > Grenoble,GEORGES PASSERIEU  (TDF 1908 ***),1908,Lyon,Grenoble,GEORGES PASSERIEU,TDF 1908 ***
6.0,Grenoble > Nice,JEAN-BAPTISTE DORTIGNACQ  (TDF 1908 ***),1908,Grenoble,Nice,JEAN-BAPTISTE DORTIGNACQ,TDF 1908 ***
7.0,Nice > Nimes,LUCIEN MAZAN DIT PETIT-BRETON  (TDF 1908 ***),1908,Nice,Nimes,LUCIEN MAZAN DIT PETIT-BRETON,TDF 1908 ***
8.0,Nimes > Toulouse,FRANÇOIS FABER  (TDF 1908 ***),1908,Nimes,Toulouse,FRANÇOIS FABER,TDF 1908 ***
9.0,Toulouse > Bayonne,LUCIEN MAZAN DIT PETIT-BRETON  (TDF 1908 ***),1908,Toulouse,Bayonne,LUCIEN MAZAN DIT PETIT-BRETON,TDF 1908 ***
10.0,Bayonne > Bordeaux,GEORGES PAULMIER  (TDF 1908 ***),1908,Bayonne,Bordeaux,GEORGES PAULMIER,TDF 1908 ***
