Team,Rider,Country,Year
TDF 1903 ***,MAURICE GARIN,FRA,1903
TDF 1903 ***,GEORGES PASQUIER,FRA,1903
TDF 1903 ***,LUCIEN BARROY,FRA,1903
TDF 1903 ***,ALEXANDRE FOUREAUX,FRA,1903
TDF 1903 ***,HENRI GAUBAN,FRA,1903
TDF 1903 ***,LOUIS BARBREL,FRA,1903
TDF 1903 ***,HIPPOLYTE AUCOUTURIER,FRA,1903
TDF 1903 ***,MARCEL KERFF,BEL,1903
TDF 1903 ***,LÉON GEORGET,FRA,1903
TDF 1903 ***,EUGÈNE BRANGE,FRA,1903
TDF 1903 ***,JEAN-BAPTISTE FISCHER,FRA,1903
TDF 1903 ***,ISIDORE LE CHARTIER,FRA,1903
TDF 1903 ***,BENJAMIN MOUNIER,FRA,1903
TDF 1903 ***,EMILE PAGIE,FRA,1903
TDF 1903 ***,JEAN DARGASSIES,FRA,1903
TDF 1903 ***,EMILE MOULIN,FRA,1903
TDF 1903 ***,JULES SALES,BEL,1903
TDF 1903 ***,PAUL EMILE,FRA,1903
TDF 1903 ***,EDOUARD WATTELIER,FRA,1903
TDF 1903 ***,CLAUDE CHAPPERON,FRA,1903
TDF 1903 ***,DIT SAMSON JULIEN LOOTENS,BEL,1903
TDF 1903 ***,RENÉ SALAIS,FRA,1903
TDF 1903 ***,LÉON HABETS,FRA,1903
TDF 1903 ***,VICTOR DUPRE,FRA,1903
TDF 1903 ***,RODOLPHE MULLER,ITA,1903
TDF 1903 ***,BEDENE,FRA,1903
TDF 1903 ***,LUCIEN POTHIER,FRA,1903
TDF 1903 ***,ARMAND PERIN,FRA,1903
TDF 1903 ***,FERNAND AUGEREAU,FRA,1903
TDF 1903 ***,EUGÈNE GEAY,FRA,1903
TDF 1903 ***,ERNEST PIVIN,FRA,1903
TDF 1903 ***,PAUL MERCIER,SUI,1903
TDF 1903 ***,PIERRE DESVAGES,FRA,1903
TDF 1903 ***,LÉON PERNETTE,FRA,1903
TDF 1903 ***,FRANÇOIS BEAUGENDRE,FRA,1903
TDF 1903 ***,ANTON JAECK,SUI,1903
TDF 1903 ***,FRANÇOIS POUSSEL,FRA,1903
TDF 1903 ***,JOSEF FISCHER,GER,1903
TDF 1903 ***,LUDWIG BARTHELMANN,GER,1903
TDF 1903 ***,JULIEN GIRBE,FRA,1903
TDF 1903 ***,CHARLES LAESER,SUI,1903
TDF 1903 ***,GEORGES BOROT,FRA,1903
TDF 1903 ***,LÉON DURANDEAU,FRA,1903
TDF 1903 ***,LÉON RICHE,FRA,1903
TDF 1903 ***,A. LASSARTIGUE,FRA,1903
TDF 1903 ***,L. FOUGERE,FRA,1903
TDF 1903 ***,EMILE TORISANI,FRA,1903
TDF 1903 ***,HENRI CHARRIER,FRA,1903
TDF 1903 ***,FERDINAND PAYAN,FRA,1903
TDF 1903 ***,PAUL TRIPPIER,FRA,1903
TDF 1903 ***,H. ELLINAMOUR,FRA,1903
TDF 1903 ***,JEAN-BAPTISTE ZIMMERMANN,FRA,1903
TDF 1903 ***,MARCEL LEQUATRE,SUI,1903
TDF 1903 ***,ARSÈNE MILLOCHEAU,FRA,1903
TDF 1903 ***,FRANÇOIS MONACHON,FRA,1903
TDF 1903 ***,ALOIS CATTEAU,BEL,1903
TDF 1903 ***,VICTOR LEFEVRE,FRA,1903
TDF 1903 ***,AUGUSTE DAUMAIN,FRA,1903
TDF 1903 ***,GUSTAVE GUILLARME,FRA,1903
TDF 1903 ***,QUETIER,FRA,1903
TDF 1903 ***,PHILIPPE DE BALADE,FRA,1903
TDF 1903 ***,ELIE MONGE,FRA,1903
TDF 1903 ***,GARROT,FRA,1903
TDF 1903 ***,CABANNA,FRA,1903
TDF 1903 ***,PAUL ARMBRUSTER,FRA,1903
TDF 1903 ***,BOISSEAU,FRA,1903
TDF 1903 ***,ARMANTE,FRA,1903
TDF 1903 ***,HONORÉ FOSSIER,FRA,1903
TDF 1903 ***,LOUIS FABRE,FRA,1903
TDF 1903 ***,CAMILLE BIERE,FRA,1903
TDF 1903 ***,MAURICE DARTIGUE,FRA,1903
TDF 1903 ***,JEAN-BAPTISTE DORTIGNACQ,FRA,1903
TDF 1903 ***,DAVID DUPONT,FRA,1903
TDF 1903 ***,PAUL AERMBRUSTER,FRA,1903
TDF 1903 ***,ANDRÉ DESBORDES,FRA,1903
TDF 1903 ***,EDOUARD CHAUDRON,FRA,1903
TDF 1903 ***,GEORGES LORGEOU,FRA,1903
TDF 1903 ***,GOYON,FRA,1903
TDF 1903 ***,FLORANE,FRA,1903
TDF 1903 ***,PUJOL,FRA,1903
TDF 1903 ***,AMBROISE GARIN,FRA,1903
TDF 1903 ***,R. MAGDELEIN,FRA,1903
TDF 1903 ***,DANIEL ROQUES,FRA,1903
TDF 1903 ***,H. LESUR,FRA,1903
TDF 1904 ***,MAURICE GARIN,FRA,1904
TDF 1904 ***,VICTOR DEVEZE,FRA,1904
TDF 1904 ***,HIPPOLYTE AUCOUTURIER,FRA,1904
TDF 1904 ***,FRANÇOIS BEAUGENDRE,FRA,1904
