,Rank,Rider,Team,Times,Gap,B,P,Year,Distance (km),Number of stages,TotalSeconds,GapSeconds,ResultType
0,1,MAURICE GARIN,TDF 1903 ***,94h 33' 14'',-,,,1903,2428,6,340394,0,time
1,2,LUCIEN POTHIER,TDF 1903 ***,97h 32' 35'',+ 02h 59' 21'',,,1903,2428,6,351155,10761,time
2,3,FERNAND AUGEREAU,TDF 1903 ***,99h 02' 38'',+ 04h 29' 24'',,,1903,2428,6,356558,16164,time
3,4,RODOLPHE MULLER,TDF 1903 ***,99h 12' 44'',+ 04h 39' 30'',,,1903,2428,6,357164,16770,time
4,5,JEAN-BAPTISTE FISCHER,TDF 1903 ***,99h 41' 58'',+ 05h 08' 44'',,,1903,2428,6,358918,18524,time
5,6,MARCEL KERFF,TDF 1903 ***,101h 37' 38'',+ 07h 04' 24'',,,1903,2428,6,365858,25464,time
6,7,DIT SAMSON JULIEN LOOTENS,TDF 1903 ***,104h 06' 22'',+ 09h 33' 08'',,,1903,2428,6,374782,34388,time
7,8,GEORGES PASQUIER,TDF 1903 ***,105h 59' 18'',+ 11h 26' 04'',,,1903,2428,6,381558,41164,time
8,9,FRANÇOIS BEAUGENDRE,TDF 1903 ***,106h 27' 28'',+ 11h 54' 14'',,,1903,2428,6,383248,42854,time
9,10,ALOIS CATTEAU,TDF 1903 ***,108h 20' 11'',+ 13h 46' 57'',,,1903,2428,6,390011,49617,time
10,11,JEAN DARGASSIES,TDF 1903 ***,109h 25' 05'',+ 14h 51' 51'',,,1903,2428,6,393905,53511,time
11,12,FERDINAND PAYAN,TDF 1903 ***,109h 44' 27'',+ 15h 11' 13'',,,1903,2428,6,395067,54673,time
12,13,JULIEN GIRBE,TDF 1903 ***,113h 52' 17'',+ 19h 19' 03'',,,1903,2428,6,409937,69543,time
13,14,ISIDORE LE CHARTIER,TDF 1903 ***,114h 40' 38'',+ 20h 07' 24'',,,1903,2428,6,412838,72444,time
14,15,JOSEF FISCHER,TDF 1903 ***,115h 49' 51'',+ 21h 16' 37'',,,1903,2428,6,416991,76597,time
15,16,ALEXANDRE FOUREAUX,TDF 1903 ***,122h 26' 17'',+ 27h 53' 03'',,,1903,2428,6,440777,100383,time
16,17,RENÉ SALAIS,TDF 1903 ***,123h 10' 08'',+ 28h 36' 54'',,,1903,2428,6,443408,103014,time
17,18,EMILE MOULIN,TDF 1903 ***,140h 16' 40'',+ 45h 43' 26'',,,1903,2428,6,505000,164606,time
18,19,GEORGES BOROT,TDF 1903 ***,142h 11' 14'',+ 47h 38' 00'',,,1903,2428,6,511874,171480,time
19,20,PIERRE DESVAGES,TDF 1903 ***,153h 27' 30'',+ 58h 54' 16'',,,1903,2428,6,552450,0,time
20,21,ARSÈNE MILLOCHEAU,TDF 1903 ***,155h 30' 44'',+ 60h 57' 30'',,,1903,2428,6,559844,0,time
21,1,HENRI CORNET (GEBOREN JARDY),TDF 1904 ***,96h 05' 55'',-,,,1904,2428,6,345955,0,time
22,2,JEAN-BAPTISTE DORTIGNACQ,TDF 1904 ***,98h 22' 09'',+ 02h 16' 14'',,,1904,2428,6,354129,8174,time
23,3,ALOIS CATTEAU,TDF 1904 ***,105h 07' 20'',+ 09h 01' 25'',,,1904,2428,6,378440,32485,time
24,4,JEAN DARGASSIES,TDF 1904 ***,107h 10' 25'',+ 11h 04' 30'',,,1904,2428,6,385825,39870,time
25,5,JULIEN MAITRON,TDF 1904 ***,113h 12' 10'',+ 17h 06' 15'',,,1904,2428,6,407530,61575,time
26,6,AUGUSTE DAUMAIN,TDF 1904 ***,116h 50' 31'',+ 20h 44' 36'',,,1904,2428,6,420631,74676,time
27,7,LOUIS COLSAET,TDF 1904 ***,117h 50' 15'',+ 21h 44' 20'',,,1904,2428,6,424215,78260,time
28,8,ACHILLE COLAS,TDF 1904 ***,119h 15' 45'',+ 23h 09' 50'',,,1904,2428,6,429345,83390,time
29,9,RENÉ SAGET,TDF 1904 ***,120h 01' 11'',+ 23h 55' 16'',,,1904,2428,6,432071,86116,time
30,10,GUSTAVE DRIOUL,TDF 1904 ***,125h 00' 34'',+ 28h 54' 39'',,,1904,2428,6,450034,104079,time
