,Year,TotalTDFDistance,Stage
0,2020,3483,Stage 1 : Nice Moyen Pays > Nice
1,2020,3483,Stage 2 : Nice Haut Pays > Nice
2,2020,3483,Stage 3 : Nice > Sisteron
3,2020,3483,Stage 4 : Sisteron > Orcières-Merlette
4,2020,3483,Stage 5 : Gap > Privas
5,2020,3483,Stage 6 : Le Teil > Mont Aigoual
6,2020,3483,Stage 7 : Millau > Lavaur
7,2020,3483,Stage 8 : Cazères-sur-Garonne > Loudenvielle
8,2020,3483,Stage 9 : Pau > Laruns
9,2020,3483,Stage 10 : Île d'Oléron Le Château-d'Oléron > Île de Ré Saint-Martin-de-Ré
10,2020,3483,Stage 11 : Châtelaillon-Plage > Poitiers
11,2020,3483,Stage 12 : Chauvigny > Sarran Corrèze
12,2020,3483,Stage 13 : Châtel-Guyon > Puy Mary Cantal
13,2020,3483,Stage 14 : Clermont-Ferrand > Lyon
14,2020,3483,Stage 15 : Lyon > Grand Colombier
15,2020,3483,Stage 16 : La Tour-du-Pin > Villard-de-Lans
16,2020,3483,Stage 17 : Grenoble > Méribel Col de la Loze
17,2020,3483,Stage 18 : Méribel > La Roche-sur-Foron
18,2020,3483,Stage 19 : Bourg-en-Bresse > Champagnole
19,2020,3483,Stage 20 : Lure > La Planche des Belles Filles
20,2020,3483,Stage 21 : Mantes-la-Jolie > Paris Champs-Élysées
21,2019,3366,Stage 1 : Bruxelles > Brussel
22,2019,3366,Stage 2 : Bruxelles Palais Royal > Brussel Atomium
23,2019,3366,Stage 3 : Binche > Épernay
24,2019,3366,Stage 4 : Reims > Nancy
25,2019,3366,Stage 5 : Saint-Dié-des-Vosges > Colmar
26,2019,3366,Stage 6 : Mulhouse > La Planche des Belles Filles
27,2019,3366,Stage 7 : Belfort > Chalon-sur-Saône
28,2019,3366,Stage 8 : Mâcon > Saint-Étienne
29,2019,3366,Stage 9 : Saint-Étienne > Brioude
30,2019,3366,Stage 10 : Saint-Flour > Albi
31,2019,3366,Stage 11 : Albi > Toulouse
32,2019,3366,Stage 12 : Toulouse > Bagnères-de-Bigorre
33,2019,3366,Stage 13 : Pau > Pau
34,2019,3366,Stage 14 : Tarbes > Tourmalet Barèges
35,2019,3366,Stage 15 : Limoux > Foix Prat d'Albis
36,2019,3366,Stage 16 : Nîmes > Nîmes
37,2019,3366,Stage 17 : Pont du Gard > Gap
38,2019,3366,Stage 18 : Embrun > Valloire
39,2019,3366,Stage 19 : Saint-Jean-de-Maurienne > Tignes
40,2019,3366,Stage 20 : Albertville > Val Thorens
41,2019,3366,Stage 21 : Rambouillet > Paris Champs-Élysées
42,2018,3349,Stage 1 : Noirmoutier-en-l'Île > Fontenay-le-Comte
43,2018,3349,Stage 2 : Mouilleron-Saint-Germain > La Roche-sur-Yon
44,2018,3349,Stage 3 : Cholet > Cholet
45,2018,3349,Stage 4 : La Baule > Sarzeau
46,2018,3349,Stage 5 : Lorient > Quimper
