Number of stages,Distance (km),Average speed,Year
6,2428,25.679,1903
6,2428,25.265,1904
11,2994,27.107,1905
13,4637,24.463,1906
14,4488,28.47,1907
14,4488,28.74,1908
14,4497,28.658,1909
15,4734,29.099,1910
15,5343,27.322,1911
15,5289,27.763,1912
15,5287,26.715,1913
15,5380,26.835,1914
15,5560,24.056,1919
15,5503,24.072,1920
15,5485,24.724,1921
15,5375,24.196,1922
15,5386,24.233,1923
15,5425,24.25,1924
18,5440,24.82,1925
17,5745,24.273,1926
24,5398,27.224,1927
22,5476,28.4,1928
22,5286,28.319,1929
21,4822,28.0,1930
24,5091,28.735,1931
21,4479,29.047,1932
23,4395,29.818,1933
24,4470,30.36,1934
21,4338,30.65,1935
21,4442,31.108,1936
20,4415,31.768,1937
21,4694,31.565,1938
18,4224,31.986,1939
21,4642,31.412,1947
21,4922,33.442,1948
21,4808,32.121,1949
22,4773,32.778,1950
24,4690,32.949,1951
23,4898,32.233,1952
22,4476,34.593,1953
23,4656,33.229,1954
22,4495,34.446,1955
22,4498,36.268,1956
22,4669,34.52,1957
24,4319,36.919,1958
22,4358,35.474,1959
21,4173,37.21,1960
21,4397,36.033,1961
22,4274,37.317,1962
21,4138,37.092,1963
22,4504,35.419,1964
22,4188,35.886,1965
22,4329,36.76,1966
22,4779,34.756,1967
22,4492,33.556,1968
22,4117,35.409,1969
23,4254,35.589,1970
20,3608,38.084,1971
20,3846,35.514,1972
20,4090,33.407,1973
23,4098,35.241,1974
22,4000,34.906,1975
22,4017,34.518,1976
22,4096,35.419,1977
22,3908,36.084,1978
24,3765,36.513,1979
22,3842,35.144,1980
22,3753,38.96,1981
21,3507,38.059,1982
22,3809,36.23,1983
23,4021,35.882,1984
22,4109,36.232,1985
23,4094,37.02,1986
25,4231,36.645,1987
22,3286,38.909,1988
21,3285,37.487,1989
21,3504,38.621,1990
22,3914,38.747,1991
21,3983,39.504,1992
20,3714,38.709,1993
21,3978,38.383,1994
20,3635,39.193,1995
21,3765,39.227,1996
21,3950,39.237,1997
21,3875,39.983,1998
20,3870,40.276,1999
21,3662,39.569,2000
20,3458,40.07,2001
20,3278,39.92,2002
20,3427,40.94,2003
20,3391,40.553,2004
21,3593,41.654,2005
20,3657,40.784,2006
20,3570,39.228,2007
21,3559,40.492,2008
21,3460,40.315,2009
20,3642,39.594,2010
21,3630,39.788,2011
20,3497,39.883,2012
21,3404,40.542,2013
21,3659,40.662,2014
21,3354,39.567,2015
21,3525,39.571,2016
21,3540,40.995,2017
21,3349,40.206,2018
21,3366,,2019
21,3483,,2020
21,3383,,2021
22,3328,,2022
