Year,Rank,Rider,Rider No.,Team,Times,Gap,B,P,Distance (km),Number of stages,ResultType,TotalSeconds,GapSeconds
1903,1,MAURICE GARIN,1,TDF 1903 ***,94h 33' 14'',-,,,2428,6,time,340394,0
1903,2,LUCIEN POTHIER,37,TDF 1903 ***,97h 32' 35'',+ 02h 59' 21'',,,2428,6,time,351155,10761
1903,3,FERNAND AUGEREAU,39,TDF 1903 ***,99h 02' 38'',+ 04h 29' 24'',,,2428,6,time,356558,16164
1903,4,RODOLPHE MULLER,33,TDF 1903 ***,99h 12' 44'',+ 04h 39' 30'',,,2428,6,time,357164,16770
1903,5,JEAN-BAPTISTE FISCHER,12,TDF 1903 ***,99h 41' 58'',+ 05h 08' 44'',,,2428,6,time,358918,18524
1903,6,MARCEL KERFF,9,TDF 1903 ***,101h 37' 38'',+ 07h 04' 24'',,,2428,6,time,365858,25464
1903,7,DIT SAMSON JULIEN LOOTENS,28,TDF 1903 ***,104h 06' 22'',+ 09h 33' 08'',,,2428,6,time,374782,34388
1903,8,GEORGES PASQUIER,2,TDF 1903 ***,105h 59' 18'',+ 11h 26' 04'',,,2428,6,time,381558,41164
1903,9,FRANÇOIS BEAUGENDRE,45,TDF 1903 ***,106h 27' 28'',+ 11h 54' 14'',,,2428,6,time,383248,42854
1903,10,ALOIS CATTEAU,71,TDF 1903 ***,108h 20' 11'',+ 13h 46' 57'',,,2428,6,time,390011,49617
1903,11,JEAN DARGASSIES,21,TDF 1903 ***,109h 25' 05'',+ 14h 51' 51'',,,2428,6,time,393905,53511
1903,12,FERDINAND PAYAN,62,TDF 1903 ***,109h 44' 27'',+ 15h 11' 13'',,,2428,6,time,395067,54673
1903,13,JULIEN GIRBE,50,TDF 1903 ***,113h 52' 17'',+ 19h 19' 03'',,,2428,6,time,409937,69543
1903,14,ISIDORE LE CHARTIER,14,TDF 1903 ***,114h 40' 38'',+ 20h 07' 24'',,,2428,6,time,412838,72444
1903,15,JOSEF FISCHER,48,TDF 1903 ***,115h 49' 51'',+ 21h 16' 37'',,,2428,6,time,416991,76597
1903,16,ALEXANDRE FOUREAUX,5,TDF 1903 ***,122h 26' 17'',+ 27h 53' 03'',,,2428,6,time,440777,100383
1903,17,RENÉ SALAIS,29,TDF 1903 ***,123h 10' 08'',+ 28h 36' 54'',,,2428,6,time,443408,103014
1903,18,EMILE MOULIN,22,TDF 1903 ***,140h 16' 40'',+ 45h 43' 26'',,,2428,6,time,505000,164606
1903,19,GEORGES BOROT,53,TDF 1903 ***,142h 11' 14'',+ 47h 38' 00'',,,2428,6,time,511874,171480
1903,20,PIERRE DESVAGES,43,TDF 1903 ***,153h 27' 30'',+ 58h 54' 16'',,,2428,6,time,552450,0
1903,21,ARSÈNE MILLOCHEAU,67,TDF 1903 ***,155h 30' 44'',+ 60h 57' 30'',,,2428,6,time,559844,0
1904,1,HENRI CORNET (GEBOREN JARDY),78,TDF 1904 ***,96h 05' 55'',-,,,2428,6,time,345955,0
1904,2,JEAN-BAPTISTE DORTIGNACQ,53,TDF 1904 ***,98h 22' 09'',+ 02h 16' 14'',,,2428,6,time,354129,8174
1904,3,ALOIS CATTEAU,14,TDF 1904 ***,105h 07' 20'',+ 09h 01' 25'',,,2428,6,time,378440,32485
1904,4,JEAN DARGASSIES,11,TDF 1904 ***,107h 10' 25'',+ 11h 04' 30'',,,2428,6,time,385825,39870
1904,5,JULIEN MAITRON,85,TDF 1904 ***,113h 12' 10'',+ 17h 06' 15'',,,2428,6,time,407530,61575
1904,6,AUGUSTE DAUMAIN,95,TDF 1904 ***,116h 50' 31'',+ 20h 44' 36'',,,2428,6,time,420631,74676
1904,7,LOUIS COLSAET,34,TDF 1904 ***,117h 50' 15'',+ 21h 44' 20'',,,2428,6,time,424215,78260
1904,8,ACHILLE COLAS,97,TDF 1904 ***,119h 15' 45'',+ 23h 09' 50'',,,2428,6,time,429345,83390
1904,9,RENÉ SAGET,70,TDF 1904 ***,120h 01' 11'',+ 23h 55' 16'',,,2428,6,time,432071,86116
1904,10,GUSTAVE DRIOUL,74,TDF 1904 ***,125h 00' 34'',+ 28h 54' 39'',,,2428,6,time,450034,104079
1904,11,HENRI PARET,30,TDF 1904 ***,126h 24' 24'',+ 30h 18' 29'',,,2428,6,time,455064,109109
1904,12,AUGUSTE GAUTHIER,73,TDF 1904 ***,127h 19' 47'',+ 31h 13' 52'',,,2428,6,time,458387,112432
1904,13,AUGUSTE RIST,67,TDF 1904 ***,129h 07' 05'',+ 33h 01' 10'',,,2428,6,time,464825,118870
1904,14,NICOLAS DAMELINCOURT,80,TDF 1904 ***,142h 44' 48'',+ 46h 38' 53'',,,2428,6,time,513888,167933
1904,15,ANTOINE DEFLOTRIERE,47,TDF 1904 ***,196h 34' 37'',+ 100h 28' 42'',,,2428,6,time,707677,0
1905,1,LOUIS TROUSSELIER,14,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,2,HIPPOLYTE AUCOUTURIER,13,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,3,JEAN-BAPTISTE DORTIGNACQ,31,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,4,EMILE GEORGET,50,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,5,LUCIEN MAZAN DIT PETIT-BRETON,77,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,6,AUGUSTINN RINGEVAL,22,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,7,PAUL CHAUVET,52,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,8,PHILIPPE PAUTRAT,7,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,9,JULIEN GABORY,21,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,10,JULIEN MAITRON,54,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,11,ALOIS CATTEAU,68,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,12,MARTIN SOULIE,38,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,13,LÉON LEYGOUTTE,5,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,14,CAMILLE FILY,3,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,15,ANTOINE WATTELIER,55,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,16,HENRI LIGNON,9,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,17,MAURICE DECAUP,76,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,18,MAURICE CARRERE,23,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,19,GUSTAVE GUILLARME,24,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,20,LUDO LOOS,59,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,21,PINCHAU,34,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,22,EUGÈNE VENTRESQUE,35,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,23,FERNAND LALLEMENT,32,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1905,24,CLOVIS LACROIX,40,TDF 1905 ***,00h 00' 00'',-,,,2994,11,,0,0
1906,1,RENÉ POTTIER,48,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,2,GEORGES PASSERIEU,50,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,3,LOUIS TROUSSELIER,49,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,4,LUCIEN MAZAN DIT PETIT-BRETON,72,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,5,EMILE GEORGET,26,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,6,ALOIS CATTEAU,21,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,7,EDOUARD WATTELIER,1,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,8,LÉON GEORGET,62,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,9,EUGÈNE CHRISTOPHE,6,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
1906,10,ANTOINE WATTELIER,39,TDF 1906 ***,00h 00' 00'',-,,,4637,14,,0,0
