Year,TotalTDFDistance,Stages,Start,End,Winner of stage,Yellow Jersey,Green jersey,Polka-dot jersey,White jersey,Leader
2025,3323,1.0,Lille Métropole,Lille Métropole,Jasper Philipsen  (Alpecin-Deceuninck),Jasper Philipsen,Anthony Turgis,Benjamin Thomas,Biniam Girmay,
2025,3323,2.0,Lauwin-Planque,Boulogne-sur-Mer,Mathieu Van Der Poel  (Alpecin-Deceuninck),Mathieu Van Der Poel,Jasper Philipsen,Tadej Pogacar,Kévin Vauquelin,
2025,3323,3.0,Valenciennes,Dunkerque,Tim Merlier  (Soudal Quick-Step),Mathieu Van Der Poel,Jonathan Milan,Tim Wellens,Kévin Vauquelin,
2025,3323,4.0,Amiens Métropole,Rouen,Tadej Pogacar  (Uae Team Emirates Xrg),Mathieu Van Der Poel,Jonathan Milan,Tadej Pogacar,Kévin Vauquelin,
2025,3323,5.0,Caen,Caen,Remco Evenepoel  (Soudal Quick-Step),Tadej Pogacar,Jonathan Milan,Jonas Vingegaard Hansen,Remco Evenepoel,
2025,3323,6.0,Bayeux,Vire Normandie,Ben Healy  (Ef Education - Easypost),Mathieu Van Der Poel,Jonathan Milan,Tim Wellens,Remco Evenepoel,
2025,3323,7.0,Saint-Malo,Mûr-de-Bretagne Guerlédan,Tadej Pogacar  (Uae Team Emirates Xrg),Tadej Pogacar,Jonathan Milan,Tim Wellens,Remco Evenepoel,
2025,3323,8.0,Saint-Méen-le-Grand,Laval Espace Mayenne,Jonathan Milan  (Lidl-Trek),Tadej Pogacar,Jonathan Milan,Tim Wellens,Remco Evenepoel,
2025,3323,9.0,Chinon,Châteauroux,Tim Merlier  (Soudal Quick-Step),Tadej Pogacar,Jonathan Milan,Tim Wellens,Remco Evenepoel,
2025,3323,10.0,Ennezat,Le Mont-Dore Puy de Sancy,Simon Philip Yates  (Team Visma | Lease A Bike),Ben Healy,Jonathan Milan,Lenny Martinez,Remco Evenepoel,
2025,3323,11.0,Toulouse,Toulouse,Jonas Abrahamsen  (Uno-X Mobility),Ben Healy,Jonathan Milan,Lenny Martinez,Remco Evenepoel,
2025,3323,12.0,Auch,Hautacam,Tadej Pogacar  (Uae Team Emirates Xrg),Tadej Pogacar,Jonathan Milan,Lenny Martinez,Remco Evenepoel,
2025,3323,13.0,Loudenvielle,Peyragudes,Tadej Pogacar  (Uae Team Emirates Xrg),Tadej Pogacar,Jonathan Milan,Lenny Martinez,Remco Evenepoel,
2025,3323,14.0,Pau,Luchon-Superbagnères,Thymen Arensman  (Ineos Grenadiers),Tadej Pogacar,Jonathan Milan,Lenny Martinez,Florian Lipowitz,
2025,3323,15.0,Muret,Carcassonne,Tim Wellens  (Uae Team Emirates Xrg),Tadej Pogacar,Jonathan Milan,Lenny Martinez,Florian Lipowitz,
2025,3323,16.0,Montpellier,Mont Ventoux,Valentin Paret Peintre  (Soudal Quick-Step),Tadej Pogacar,Jonathan Milan,Lenny Martinez,Florian Lipowitz,
2025,3323,17.0,Bollène,Valence,Jonathan Milan  (Lidl-Trek),Tadej Pogacar,Jonathan Milan,Lenny Martinez,Florian Lipowitz,
2025,3323,18.0,Vif,Courchevel Col de la Loze,Ben Alexander O'Connor  (Team Jayco Alula),Tadej Pogacar,Jonathan Milan,Jonas Vingegaard Hansen,Florian Lipowitz,
2025,3323,19.0,Albertville,La Plagne,Thymen Arensman  (Ineos Grenadiers),Tadej Pogacar,Jonathan Milan,Jonas Vingegaard Hansen,Florian Lipowitz,
2025,3323,20.0,Nantua,Pontarlier,Kaden Groves  (Alpecin-Deceuninck),Tadej Pogacar,Jonathan Milan,Jonas Vingegaard Hansen,Florian Lipowitz,
2025,3323,21.0,Mantes-la-Ville,Paris Champs-Élysées,Wout Van Aert  (Team Visma | Lease A Bike),Tadej Pogacar,Jonathan Milan,Tadej Pogacar,Florian Lipowitz,
2024,3492,1.0,Florence,Rimini,Romain Bardet  (Team Dsm-Firmenich Postnl),Romain Bardet,Frank Van Den Broek,Jonas Abrahamsen,Maxim Van Gils,
2024,3492,2.0,Cesenatico,Bologne,Kévin Vauquelin  (Arkea-B&B Hotels),Tadej Pogacar,Jonas Abrahamsen,Valentin Madouas,Remco Evenepoel,
2024,3492,3.0,Plaisance,Turin,Biniam Girmay  (Intermarché - Wanty),Richard Carapaz,Jonas Abrahamsen,Valentin Madouas,Remco Evenepoel,
2024,3492,4.0,Pinerolo,Valloire,Tadej Pogacar  (Uae Team Emirates),Tadej Pogacar,Jonas Abrahamsen,Valentin Madouas,Remco Evenepoel,
2024,3492,5.0,Saint-Jean-de-Maurienne,Saint-Vulbas,Mark Cavendish  (Astana Qazaqstan Team),Tadej Pogacar,Biniam Girmay,Jonas Abrahamsen,Remco Evenepoel,
2024,3492,6.0,Mâcon,Dijon,Dylan Groenewegen  (Team Jayco Alula),Tadej Pogacar,Biniam Girmay,Jonas Abrahamsen,Remco Evenepoel,
2024,3492,7.0,Nuits-Saint-Georges,Gevrey-Chambertin,Remco Evenepoel  (Soudal Quick-Step),Tadej Pogacar,Biniam Girmay,Jonas Abrahamsen,Remco Evenepoel,
2024,3492,8.0,Semur-en-Auxois,Colombey-les-deux-Églises,Biniam Girmay  (Intermarché - Wanty),Tadej Pogacar,Biniam Girmay,Jonas Abrahamsen,Remco Evenepoel,
2024,3492,9.0,Troyes,Troyes,Anthony Turgis  (Totalenergies),Tadej Pogacar,Biniam Girmay,Jonas Abrahamsen,Remco Evenepoel,
2024,3492,10.0,Orléans,Saint-Amand-Montrond,Jasper Philipsen  (Alpecin-Deceuninck),Tadej Pogacar,Biniam Girmay,Jonas Abrahamsen,Remco Evenepoel,
2024,3492,11.0,Évaux-les-Bains,Le Lioran,Jonas Vingegaard Hansen  (Team Visma | Lease A Bike),Tadej Pogacar,Biniam Girmay,Jonas Abrahamsen,Remco Evenepoel,
2024,3492,12.0,Aurillac,Villeneuve-sur-Lot,Biniam Girmay  (Intermarché - Wanty),Tadej Pogacar,Biniam Girmay,Jonas Abrahamsen,Remco Evenepoel,
2024,3492,13.0,Agen,Pau,Jasper Philipsen  (Alpecin-Deceuninck),Tadej Pogacar,Biniam Girmay,Jonas Abrahamsen,Remco Evenepoel,
2024,3492,14.0,Pau,Saint-Lary-Soulan Pla d'Adet,Tadej Pogacar  (Uae Team Emirates),Tadej Pogacar,Biniam Girmay,Jonas Vingegaard Hansen,Remco Evenepoel,
2024,3492,15.0,Loudenvielle,Plateau de Beille,Tadej Pogacar  (Uae Team Emirates),Tadej Pogacar,Biniam Girmay,Jonas Vingegaard Hansen,Remco Evenepoel,
2024,3492,16.0,Gruissan,Nîmes,Jasper Philipsen  (Alpecin-Deceuninck),Tadej Pogacar,Biniam Girmay,Jonas Vingegaard Hansen,Remco Evenepoel,
2024,3492,17.0,Saint-Paul-Trois-Châteaux,Superdévoluy,Richard Carapaz  (Ef Education - Easypost),Tadej Pogacar,Biniam Girmay,Jonas Vingegaard Hansen,Remco Evenepoel,
2024,3492,18.0,Gap,Barcelonnette,Victor Campenaerts  (Lotto Dstny),Tadej Pogacar,Biniam Girmay,Jonas Vingegaard Hansen,Remco Evenepoel,
2024,3492,19.0,Embrun,Isola 2000,Tadej Pogacar  (Uae Team Emirates),Tadej Pogacar,Biniam Girmay,Richard Carapaz,Remco Evenepoel,
2024,3492,20.0,Nice,Col de la Couillole,Tadej Pogacar  (Uae Team Emirates),Tadej Pogacar,Biniam Girmay,Richard Carapaz,Remco Evenepoel,
2024,3492,21.0,Monaco,Nice,Tadej Pogacar  (Uae Team Emirates),Tadej Pogacar,Biniam Girmay,Richard Carapaz,Remco Evenepoel,
2023,3404,1.0,Bilbao,Bilbao,Adam Yates  (Uae Team Emirates),Adam Yates,Simon Philip Yates,Neilson Powless,Tadej Pogacar,
2023,3404,2.0,Vitoria-Gasteiz,Saint-Sébastien,Victor Lafay  (Cofidis),Adam Yates,Victor Lafay,Neilson Powless,Tadej Pogacar,
2023,3404,3.0,Amorebieta-Etxano,Bayonne,Jasper Philipsen  (Alpecin-Deceuninck),Adam Yates,Victor Lafay,Neilson Powless,Tadej Pogacar,
2023,3404,4.0,Dax,Nogaro,Jasper Philipsen  (Alpecin-Deceuninck),Adam Yates,Jasper Philipsen,Neilson Powless,Tadej Pogacar,
2023,3404,5.0,Pau,Laruns,Jai Hindley  (Bora - Hansgrohe),Jai Hindley,Jasper Philipsen,Felix Gall,Tadej Pogacar,
2023,3404,6.0,Tarbes,Cauterets-Cambasque,Tadej Pogacar  (Uae Team Emirates),Jonas Vingegaard Hansen,Jasper Philipsen,Neilson Powless,Tadej Pogacar,
2023,3404,7.0,Mont-de-Marsan,Bordeaux,Jasper Philipsen  (Alpecin-Deceuninck),Jonas Vingegaard Hansen,Jasper Philipsen,Neilson Powless,Tadej Pogacar,
2023,3404,8.0,Libourne,Limoges,Mads Pedersen  (Lidl - Trek),Jonas Vingegaard Hansen,Jasper Philipsen,Neilson Powless,Tadej Pogacar,
2023,3404,9.0,Saint-Léonard-de-Noblat,Puy de Dôme,Michael Russell Woods  (Israel - Premier Tech),Jonas Vingegaard Hansen,Jasper Philipsen,Neilson Powless,Tadej Pogacar,
2023,3404,10.0,Vulcania,Issoire,Pello Bilbao Lopez De Armentia  (Bahrain Victorious),Jonas Vingegaard Hansen,Jasper Philipsen,Neilson Powless,Tadej Pogacar,
2023,3404,11.0,Clermont-Ferrand,Moulins,Jasper Philipsen  (Alpecin-Deceuninck),Jonas Vingegaard Hansen,Jasper Philipsen,Neilson Powless,Tadej Pogacar,
2023,3404,12.0,Roanne,Belleville-en-Beaujolais,Ion Izagirre Insausti  (Cofidis),Jonas Vingegaard Hansen,Jasper Philipsen,Neilson Powless,Tadej Pogacar,
2023,3404,13.0,Châtillon-sur-Chalaronne,Grand Colombier,Michal Kwiatkowski  (Ineos Grenadiers),Jonas Vingegaard Hansen,Jasper Philipsen,Neilson Powless,Tadej Pogacar,
2023,3404,14.0,Annemasse,Morzine Les Portes du Soleil,Carlos Rodriguez  (Ineos Grenadiers),Jonas Vingegaard Hansen,Jasper Philipsen,Neilson Powless,Tadej Pogacar,
2023,3404,15.0,Les Gets les portes du soleil,Saint-Gervais Mont-Blanc,Wout Poels  (Bahrain Victorious),Jonas Vingegaard Hansen,Jasper Philipsen,Giulio Ciccone,Tadej Pogacar,
2023,3404,16.0,Passy,Combloux,Jonas Vingegaard Hansen  (Jumbo-Visma),Jonas Vingegaard Hansen,Jasper Philipsen,Giulio Ciccone,Tadej Pogacar,
2023,3404,17.0,Saint-Gervais Mont-Blanc,Courchevel,Felix Gall  (Ag2R Citroen Team),Jonas Vingegaard Hansen,Jasper Philipsen,Giulio Ciccone,Tadej Pogacar,
2023,3404,18.0,Moûtiers,Bourg-en-Bresse,Kasper Asgreen  (Soudal Quick-Step),Jonas Vingegaard Hansen,Jasper Philipsen,Giulio Ciccone,Tadej Pogacar,
2023,3404,19.0,Moirans-en-Montagne,Poligny,Matej Mohoric  (Bahrain Victorious),Jonas Vingegaard Hansen,Jasper Philipsen,Giulio Ciccone,Tadej Pogacar,
2023,3404,20.0,Belfort,Le Markstein Fellering,Tadej Pogacar  (Uae Team Emirates),Jonas Vingegaard Hansen,Jasper Philipsen,Giulio Ciccone,Tadej Pogacar,
2023,3404,21.0,Saint-Quentin-en-Yvelines,Paris Champs-Élysées,Jordi Meeus  (Bora - Hansgrohe),Jonas Vingegaard Hansen,Jasper Philipsen,Giulio Ciccone,Tadej Pogacar,
2022,3328,1.0,Copenhague,Copenhague,Yves Lampaert  (Quick-Step Alpha Vinyl Team),Yves Lampaert,Wout Van Aert,Nan,Tadej Pogacar,
2022,3328,1.0,Copenhague,Copenhague,Yves Lampaert  (Quick-Step Alpha Vinyl Team),Wout Van Aert,Fabio Jakobsen,Magnus Cort Nielsen,Tadej Pogacar,
2022,3328,1.0,Transfert,Transfert,Yves Lampaert  (Quick-Step Alpha Vinyl Team),Yves Lampaert,Wout Van Aert,Nan,Tadej Pogacar,
2022,3328,1.0,Transfert,Transfert,Yves Lampaert  (Quick-Step Alpha Vinyl Team),Wout Van Aert,Fabio Jakobsen,Magnus Cort Nielsen,Tadej Pogacar,
2022,3328,2.0,Roskilde,Nyborg,Fabio Jakobsen  (Quick-Step Alpha Vinyl Team),Wout Van Aert,Fabio Jakobsen,Magnus Cort Nielsen,Tadej Pogacar,
2022,3328,3.0,Vejle,Sønderborg,Dylan Groenewegen  (Team Bikeexchange-Jayco),Wout Van Aert,Fabio Jakobsen,Magnus Cort Nielsen,Tadej Pogacar,
2022,3328,4.0,Dunkerque,Calais,Wout Van Aert  (Jumbo - Visma),Wout Van Aert,Fabio Jakobsen,Magnus Cort Nielsen,Tadej Pogacar,
