,Year,Rider,Rank,Time,DistanceKilometer,PersonalAvgPace,Hours,Minutes,Seconds,Team,RiderNumber,TotalSeconds,Gap,Bonus,Points,NumberStages,ListedAvgPace
0,1903,MAURICE GARIN,1,94h 33' 14'',2428.0,25.678,94,33,14,TDF 1903 ***,1,340394,-,,,6.0,25.679
1,1903,LUCIEN POTHIER,2,97h 32' 35'',2428.0,24.892,97,32,35,TDF 1903 ***,37,351155,+ 02h 59' 21'',,,6.0,25.679
2,1903,FERNAND AUGEREAU,3,99h 02' 38'',2428.0,24.514,99,2,38,TDF 1903 ***,39,356558,+ 04h 29' 24'',,,6.0,25.679
3,1903,RODOLPHE MULLER,4,99h 12' 44'',2428.0,24.473,99,12,44,TDF 1903 ***,33,357164,+ 04h 39' 30'',,,6.0,25.679
4,1903,JEAN-BAPTISTE FISCHER,5,99h 41' 58'',2428.0,24.353,99,41,58,TDF 1903 ***,12,358918,+ 05h 08' 44'',,,6.0,25.679
5,1903,MARCEL KERFF,6,101h 37' 38'',2428.0,23.891,101,37,38,TDF 1903 ***,9,365858,+ 07h 04' 24'',,,6.0,25.679
6,1903,DIT SAMSON JULIEN LOOTENS,7,104h 06' 22'',2428.0,23.322,104,6,22,TDF 1903 ***,28,374782,+ 09h 33' 08'',,,6.0,25.679
7,1903,GEORGES PASQUIER,8,105h 59' 18'',2428.0,22.908,105,59,18,TDF 1903 ***,2,381558,+ 11h 26' 04'',,,6.0,25.679
8,1903,FRANÇOIS BEAUGENDRE,9,106h 27' 28'',2428.0,22.807,106,27,28,TDF 1903 ***,45,383248,+ 11h 54' 14'',,,6.0,25.679
9,1903,ALOIS CATTEAU,10,108h 20' 11'',2428.0,22.412,108,20,11,TDF 1903 ***,71,390011,+ 13h 46' 57'',,,6.0,25.679
10,1903,JEAN DARGASSIES,11,109h 25' 05'',2428.0,22.19,109,25,5,TDF 1903 ***,21,393905,+ 14h 51' 51'',,,6.0,25.679
11,1903,FERDINAND PAYAN,12,109h 44' 27'',2428.0,22.125,109,44,27,TDF 1903 ***,62,395067,+ 15h 11' 13'',,,6.0,25.679
12,1903,JULIEN GIRBE,13,113h 52' 17'',2428.0,21.322,113,52,17,TDF 1903 ***,50,409937,+ 19h 19' 03'',,,6.0,25.679
13,1903,ISIDORE LE CHARTIER,14,114h 40' 38'',2428.0,21.172,114,40,38,TDF 1903 ***,14,412838,+ 20h 07' 24'',,,6.0,25.679
14,1903,JOSEF FISCHER,15,115h 49' 51'',2428.0,20.962,115,49,51,TDF 1903 ***,48,416991,+ 21h 16' 37'',,,6.0,25.679
15,1903,ALEXANDRE FOUREAUX,16,122h 26' 17'',2428.0,19.83,122,26,17,TDF 1903 ***,5,440777,+ 27h 53' 03'',,,6.0,25.679
16,1903,RENÉ SALAIS,17,123h 10' 08'',2428.0,19.713,123,10,8,TDF 1903 ***,29,443408,+ 28h 36' 54'',,,6.0,25.679
17,1903,EMILE MOULIN,18,140h 16' 40'',2428.0,17.309,140,16,40,TDF 1903 ***,22,505000,+ 45h 43' 26'',,,6.0,25.679
18,1903,GEORGES BOROT,19,142h 11' 14'',2428.0,17.076,142,11,14,TDF 1903 ***,53,511874,+ 47h 38' 00'',,,6.0,25.679
19,1903,PIERRE DESVAGES,20,153h 27' 30'',2428.0,15.822,153,27,30,TDF 1903 ***,43,552450,+ 58h 54' 16'',,,6.0,25.679
20,1903,ARSÈNE MILLOCHEAU,21,155h 30' 44'',2428.0,15.613,155,30,44,TDF 1903 ***,67,559844,+ 60h 57' 30'',,,6.0,25.679
21,1904,HENRI CORNET (GEBOREN JARDY),1,96h 05' 55'',2428.0,25.266,96,5,55,TDF 1904 ***,78,345955,-,,,6.0,25.265
22,1904,JEAN-BAPTISTE DORTIGNACQ,2,98h 22' 09'',2428.0,24.683,98,22,9,TDF 1904 ***,53,354129,+ 02h 16' 14'',,,6.0,25.265
23,1904,ALOIS CATTEAU,3,105h 07' 20'',2428.0,23.097,105,7,20,TDF 1904 ***,14,378440,+ 09h 01' 25'',,,6.0,25.265
24,1904,JEAN DARGASSIES,4,107h 10' 25'',2428.0,22.655,107,10,25,TDF 1904 ***,11,385825,+ 11h 04' 30'',,,6.0,25.265
25,1904,JULIEN MAITRON,5,113h 12' 10'',2428.0,21.448,113,12,10,TDF 1904 ***,85,407530,+ 17h 06' 15'',,,6.0,25.265
26,1904,AUGUSTE DAUMAIN,6,116h 50' 31'',2428.0,20.78,116,50,31,TDF 1904 ***,95,420631,+ 20h 44' 36'',,,6.0,25.265
27,1904,LOUIS COLSAET,7,117h 50' 15'',2428.0,20.605,117,50,15,TDF 1904 ***,34,424215,+ 21h 44' 20'',,,6.0,25.265
28,1904,ACHILLE COLAS,8,119h 15' 45'',2428.0,20.358,119,15,45,TDF 1904 ***,97,429345,+ 23h 09' 50'',,,6.0,25.265
29,1904,RENÉ SAGET,9,120h 01' 11'',2428.0,20.23,120,1,11,TDF 1904 ***,70,432071,+ 23h 55' 16'',,,6.0,25.265
30,1904,GUSTAVE DRIOUL,10,125h 00' 34'',2428.0,19.423,125,0,34,TDF 1904 ***,74,450034,+ 28h 54' 39'',,,6.0,25.265
31,1904,HENRI PARET,11,126h 24' 24'',2428.0,19.208,126,24,24,TDF 1904 ***,30,455064,+ 30h 18' 29'',,,6.0,25.265
32,1904,AUGUSTE GAUTHIER,12,127h 19' 47'',2428.0,19.069,127,19,47,TDF 1904 ***,73,458387,+ 31h 13' 52'',,,6.0,25.265
33,1904,AUGUSTE RIST,13,129h 07' 05'',2428.0,18.804,129,7,5,TDF 1904 ***,67,464825,+ 33h 01' 10'',,,6.0,25.265
34,1904,NICOLAS DAMELINCOURT,14,142h 44' 48'',2428.0,17.009,142,44,48,TDF 1904 ***,80,513888,+ 46h 38' 53'',,,6.0,25.265
35,1904,ANTOINE DEFLOTRIERE,15,196h 34' 37'',2428.0,12.351,196,34,37,TDF 1904 ***,47,707677,+ 100h 28' 42'',,,6.0,25.265
36,1905,LOUIS TROUSSELIER,1,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,14,0,-,,,11.0,27.107
37,1905,HIPPOLYTE AUCOUTURIER,2,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,13,0,-,,,11.0,27.107
38,1905,JEAN-BAPTISTE DORTIGNACQ,3,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,31,0,-,,,11.0,27.107
39,1905,EMILE GEORGET,4,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,50,0,-,,,11.0,27.107
40,1905,LUCIEN MAZAN DIT PETIT-BRETON,5,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,77,0,-,,,11.0,27.107
41,1905,AUGUSTINN RINGEVAL,6,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,22,0,-,,,11.0,27.107
42,1905,PAUL CHAUVET,7,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,52,0,-,,,11.0,27.107
43,1905,PHILIPPE PAUTRAT,8,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,7,0,-,,,11.0,27.107
44,1905,JULIEN GABORY,9,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,21,0,-,,,11.0,27.107
45,1905,JULIEN MAITRON,10,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,54,0,-,,,11.0,27.107
46,1905,ALOIS CATTEAU,11,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,68,0,-,,,11.0,27.107
47,1905,MARTIN SOULIE,12,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,38,0,-,,,11.0,27.107
48,1905,LÉON LEYGOUTTE,13,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,5,0,-,,,11.0,27.107
49,1905,CAMILLE FILY,14,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,3,0,-,,,11.0,27.107
50,1905,ANTOINE WATTELIER,15,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,55,0,-,,,11.0,27.107
51,1905,HENRI LIGNON,16,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,9,0,-,,,11.0,27.107
52,1905,MAURICE DECAUP,17,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,76,0,-,,,11.0,27.107
53,1905,MAURICE CARRERE,18,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,23,0,-,,,11.0,27.107
54,1905,GUSTAVE GUILLARME,19,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,24,0,-,,,11.0,27.107
55,1905,LUDO LOOS,20,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,59,0,-,,,11.0,27.107
56,1905,PINCHAU,21,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,34,0,-,,,11.0,27.107
57,1905,EUGÈNE VENTRESQUE,22,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,35,0,-,,,11.0,27.107
58,1905,FERNAND LALLEMENT,23,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,32,0,-,,,11.0,27.107
59,1905,CLOVIS LACROIX,24,00h 00' 00'',2994.0,inf,0,0,0,TDF 1905 ***,40,0,-,,,11.0,27.107
60,1906,RENÉ POTTIER,1,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,48,0,-,,,13.0,24.463
61,1906,GEORGES PASSERIEU,2,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,50,0,-,,,13.0,24.463
62,1906,LOUIS TROUSSELIER,3,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,49,0,-,,,13.0,24.463
63,1906,LUCIEN MAZAN DIT PETIT-BRETON,4,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,72,0,-,,,13.0,24.463
64,1906,EMILE GEORGET,5,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,26,0,-,,,13.0,24.463
65,1906,ALOIS CATTEAU,6,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,21,0,-,,,13.0,24.463
66,1906,EDOUARD WATTELIER,7,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,1,0,-,,,13.0,24.463
67,1906,LÉON GEORGET,8,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,62,0,-,,,13.0,24.463
68,1906,EUGÈNE CHRISTOPHE,9,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,6,0,-,,,13.0,24.463
69,1906,ANTOINE WATTELIER,10,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,39,0,-,,,13.0,24.463
70,1906,GEORGES FLEURY,11,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,46,0,-,,,13.0,24.463
71,1906,FERDINAND PAYAN,12,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,28,0,-,,,13.0,24.463
72,1906,LÉON WINANT,13,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,42,0,-,,,13.0,24.463
73,1906,GEORGES BRONCHARD,14,00h 00' 00'',4637.0,inf,0,0,0,TDF 1906 ***,60,0,-,,,13.0,24.463
74,1907,LUCIEN MAZAN DIT PETIT-BRETON,1,,4488.0,,,,,TDF 1907 ***,12,,,,47,14.0,28.47
75,1907,GUSTAVE GARRIGOU,2,,4488.0,,,,,TDF 1907 ***,71,,,,66,14.0,28.47
76,1907,EMILE GEORGET,3,,4488.0,,,,,TDF 1907 ***,73,,,,74,14.0,28.47
77,1907,GEORGES PASSERIEU,4,,4488.0,,,,,TDF 1907 ***,70,,,,85,14.0,28.47
78,1907,FRANÇOIS BEAUGENDRE,5,,4488.0,,,,,TDF 1907 ***,87,,,,123,14.0,28.47
79,1907,EBERADO PAVESI,6,,4488.0,,,,,TDF 1907 ***,43,,,,150,14.0,28.47
80,1907,FRANÇOIS FABER,7,,4488.0,,,,,TDF 1907 ***,4,,,,156,14.0,28.47
