Year,TotalTDFDistance,Stages,Start,End,Winner of stage,Yellow Jersey,Green jersey,Polka-dot jersey,White jersey
2024,946,1,Rotterdam,La Haye,Charlotte Kool  (Team Dsm-Firmenich Postnl),Charlotte Kool,Marianne Vos,Cristina Tonetti,Anniina Ahtosalo
2024,946,2,Dordrecht,Rotterdam,Charlotte Kool  (Team Dsm-Firmenich Postnl),Charlotte Kool,Marianne Vos,Cristina Tonetti,Anniina Ahtosalo
2024,946,3,Rotterdam,Rotterdam,Demi Vollering  (Team Sd Worx - Protime),Demi Vollering,Charlotte Kool,Cristina Tonetti,Anniina Ahtosalo
2024,946,4,Valkenburg,Liège,Puck Pieterse  (Fenix-Deceuninck),Demi Vollering,Charlotte Kool,Puck Pieterse,Shirin Van Anrooij
2024,946,5,Bastogne,Amnéville,Blanka Vas  (Team Sd Worx - Protime),Katarzyna Niewiadoma-Phinney,Charlotte Kool,Puck Pieterse,Shirin Van Anrooij
2024,946,6,Remiremont,Morteau,Cedrine Kerbaol  (Ceratizit - Wnt Pro Cycling Team),Katarzyna Niewiadoma-Phinney,Marianne Vos,Justine Ghekiere,Puck Pieterse
2024,946,7,Champagnole,Le Grand-Bornand,Justine Ghekiere  (Ag Insurance - Soudal Team),Katarzyna Niewiadoma-Phinney,Marianne Vos,Justine Ghekiere,Puck Pieterse
2024,946,8,Le Grand-Bornand,Alpe d'Huez,Demi Vollering  (Team Sd Worx - Protime),Katarzyna Niewiadoma-Phinney,Marianne Vos,Justine Ghekiere,Puck Pieterse
2023,956,1,Clermont-Ferrand,Clermont-Ferrand,Lotte Kopecky  (Team Sd Worx),Lotte Kopecky,Ashleigh Moolman Pasio,Katarzyna Niewiadoma-Phinney,Cedrine Kerbaol
2023,956,2,Clermont-Ferrand,MAURIAC,Liane Lippert  (Movistar Team Women),Lotte Kopecky,Ashleigh Moolman Pasio,Yara Kastelijn,Cedrine Kerbaol
2023,956,3,COLLONGES-LA-ROUGE,MONTIGNAC-LASCAUX,Lorena Wiebes  (Team Sd Worx),Lotte Kopecky,Ashleigh Moolman Pasio,Julie Van De Velde,Cedrine Kerbaol
2023,956,4,CAHORS,RODEZ,Yara Kastelijn  (Fenix-Deceuninck),Lotte Kopecky,Ashleigh Moolman Pasio,Anouska Koster,Cedrine Kerbaol
2023,956,5,ONET-LE-CHÂTEAU,ALBI,Ricarda Bauernfeind  (Canyon//Sram Racing),Lotte Kopecky,Ashleigh Moolman Pasio,Yara Kastelijn,Cedrine Kerbaol
2023,956,6,ALBI,BLAGNAC,Emma Norsgaard Bjerg  (Movistar Team Women),Lotte Kopecky,Ashleigh Moolman Pasio,Yara Kastelijn,Cedrine Kerbaol
2023,956,7,LANNEMEZAN,TOURMALET BAGNÈRES-DE-BIGORRE,Demi Vollering  (Team Sd Worx),Demi Vollering,Lotte Kopecky,Katarzyna Niewiadoma-Phinney,Cedrine Kerbaol
2023,956,8,PAU,PAU,Marlen Reusser  (Team Sd Worx),Demi Vollering,Lotte Kopecky,Katarzyna Niewiadoma-Phinney,Cedrine Kerbaol
2022,1029,1,Paris Tour Eiffel,Champs-Élysées,Lorena Wiebes  (Team Dsm),Lorena Wiebes,Lotte Kopecky,Femke Markus,Maike Van Der Duin
2022,1029,2,Meaux,Provins,Marianne Vos  (Team Jumbo Visma),Marianne Vos,Lorena Wiebes,Femke Markus,Maike Van Der Duin
2022,1029,3,Reims,Épernay,Cecilie Ludwig  (Fdj Suez Futuroscope),Marianne Vos,Lorena Wiebes,Femke Gerritse,Julie De Wilde
2022,1029,4,Troyes,Bar-sur-Aube,Marlen Reusser  (Team Sd Worx),Marianne Vos,Lorena Wiebes,Femke Gerritse,Julie De Wilde
2022,1029,5,Bar-le-Duc,Saint-Dié-des-Vosges,Lorena Wiebes  (Team Dsm),Marianne Vos,Lorena Wiebes,Femke Gerritse,Julie De Wilde
2022,1029,6,Saint-Dié-des-Vosges,Rosheim,Marianne Vos  (Team Jumbo Visma),Marianne Vos,Lorena Wiebes,Femke Gerritse,Julia Borgström
2022,1029,7,Sélestat,Le Markstein Fellering,Annemiek Van Vleuten  (Movistar Team Women),Annemiek Van Vleuten,Marianne Vos,Demi Vollering,Shirin Van Anrooij
2022,1029,8,Lure,La Super Planche des Belles Filles,Annemiek Van Vleuten  (Movistar Team Women),Annemiek Van Vleuten,Marianne Vos,Demi Vollering,Shirin Van Anrooij
