Tour de France 2014

Number of stages 21
Distance (km) 3 659
Average speed 40.662

All about year 2014

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank               Rider               Rider No.                Team                    Times           Gap       B P
1    VINCENZO NIBALI                   41         ASTANA PRO TEAM                   89h 59' 06''
2    JEAN-CHRISTOPHE PÉRAUD            81         AG2R LA MONDIALE                  90h 06' 43''  + 00h 07' 37''
3    THIBAUT PINOT                     127        FDJ.FR                            90h 07' 21''  + 00h 08' 15''
4    ALEJANDRO VALVERDE                11         MOVISTAR TEAM                     90h 08' 46''  + 00h 09' 40''
5    TEJAY VAN GARDEREN                141        BMC RACING TEAM                   90h 10' 30''  + 00h 11' 24''
6    ROMAIN BARDET                     82         AG2R LA MONDIALE                  90h 10' 32''  + 00h 11' 26''
7    LEOPOLD KONIG                     201        TEAM NETAPP-ENDURA                90h 13' 38''  + 00h 14' 32''
8    HAIMAR ZUBELDIA AGIRRE            169        TREK FACTORY RACING               90h 17' 03''  + 00h 17' 57''
9    LAURENS TEN DAM                   67         BELKIN PRO CYCLING                90h 17' 17''  + 00h 18' 11''
10   BAUKE MOLLEMA                     61         BELKIN PRO CYCLING                90h 20' 21''  + 00h 21' 15''
11   PIERRE ROLLAND                    151        TEAM EUROPCAR                     90h 22' 13''  + 00h 23' 07''
12   FRANK SCHLECK                     161        TREK FACTORY RACING               90h 24' 54''  + 00h 25' 48''
13   JURGEN VAN DEN BROECK             131        LOTTO-BELISOL                     90h 33' 07''  + 00h 34' 01''
14   YURY TROFIMOV                     29         TEAM KATUSHA                      90h 35' 47''  + 00h 36' 41''
15   STEVEN KRUIJSWIJK                 64         BELKIN PRO CYCLING                90h 37' 21''  + 00h 38' 15''
16   BRICE FEILLU                      211        BRETAGNE - SECHE ENVIRONNEMENT    90h 43' 05''  + 00h 43' 59''
17   CHRISTOPHER HORNER                114        LAMPRE - MERIDA                   90h 43' 37''  + 00h 44' 31''
18   MIKEL NIEVE ITURRALDE             5          TEAM SKY                          90h 45' 37''  + 00h 46' 31''
19   JOHN GADRET                       13         MOVISTAR TEAM                     90h 46' 36''  + 00h 47' 30''
20   TANEL KANGERT                     46         ASTANA PRO TEAM                   90h 51' 17''  + 00h 52' 11''
21   BEN GASTAUER                      85         AG2R LA MONDIALE                  90h 57' 06''  + 00h 58' 00''
22   GERAINT THOMAS                    8          TEAM SKY                          90h 58' 20''  + 00h 59' 14''
23   RICHIE PORTE                      7          TEAM SKY                          91h 00' 14''  + 01h 01' 08''
24   JAN BAKELANTS                     72         OMEGA PHARMA-QUICK STEP           91h 05' 34''  + 01h 06' 28''
25   CYRIL GAUTIER                     154        TEAM EUROPCAR                     91h 07' 53''  + 01h 08' 47''
26   MICHAEL ROGERS                    38         TINKOFF-SAXO                      91h 16' 59''  + 01h 17' 53''
