Tour de France 1961

Number of stages 21
Distance (km) 4 397
Average speed 36.033

All about year 1961

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank         Rider          Rider No.         Team              Times            Gap        B P
1    JACQUES ANQUETIL       14         FRANCE              122h 01' 33''
2    GUIDO CARLESI          5          ITALIE              122h 13' 47''   + 00h 12' 14''
3    CHARLY GAUL            82         SUISSE-LUXEMBOURG   122h 13' 49''   + 00h 12' 16''
4    IMERIO MASSIGNAN       8          ITALIE              122h 17' 32''   + 00h 15' 59''
5    HANS JUNKERMANN        65         ALLEMAGNE           122h 17' 42''   + 00h 16' 09''
6    FERNANDO MANZANEQUE    42         ESPAGNE             122h 18' 00''   + 00h 16' 27''
7    JOSÉ PEREZ-FRANCES     47         ESPAGNE             122h 22' 14''   + 00h 20' 41''
8    JEAN DOTTO             116        CENTRE-MIDI         122h 23' 17''   + 00h 21' 44''
9    EDDY PAUWELS           30         BELGIQUE            122h 28' 30''   + 00h 26' 57''
10   JEAN ADRIAENSSENS      25         BELGIQUE            122h 29' 38''   + 00h 28' 05''
11   JOS HOEVENAERS         29         BELGIQUE            122h 30' 00''   + 00h 28' 27''
12   ALFRED RÜEGG           78         SUISSE-LUXEMBOURG   122h 33' 47''   + 00h 32' 14''
13   MICHEL VAN AERDE       33         BELGIQUE            122h 42' 07''   + 00h 40' 34''
14   JEAN GAINCHE           129        OUEST-SUD OUEST     122h 42' 59''   + 00h 41' 26''
15   JO PLANCKAERT          31         BELGIQUE            122h 43' 26''   + 00h 41' 53''
16   ADRIANO ZAMBONI        12         ITALIE              122h 44' 59''   + 00h 43' 26''
17   FRANS AERENHOUTS       26         BELGIQUE            122h 47' 25''   + 00h 45' 52''
18   HENRI ANGLADE          13         FRANCE              122h 49' 11''   + 00h 47' 38''
19   RAYMOND MASTROTTO      22         FRANCE              122h 54' 52''   + 00h 53' 19''
20   ANDRÉ FOUCHER          128        OUEST-SUD OUEST     122h 59' 41''   + 00h 58' 08''
21   MARCEL QUEHEILLE       135        OUEST-SUD OUEST     123h 00' 15''   + 00h 58' 42''
22   CLAUDE MATTIO          119        CENTRE-MIDI         123h 00' 15''   + 00h 58' 42''
23   EDOUARD BIHOUEE        126        OUEST-SUD OUEST     123h 06' 38''   + 01h 05' 05''
24   JOSEPH WASKO           112        PARIS-NORD-EST      123h 08' 01''   + 01h 06' 28''
25   JOSEPH THOMIN          136        OUEST-SUD OUEST     123h 08' 18''   + 01h 06' 45''
26   ELIO GERUSSI           105        PARIS-NORD-EST      123h 09' 06''   + 01h 07' 33''
27   FERNAND PICOT          134        OUEST-SUD OUEST     123h 19' 14''   + 01h 17' 41''
28   PIERRE BEUFFEUIL       125        OUEST-SUD OUEST     123h 20' 48''   + 01h 19' 15''
29   STÉPHAN LACH           107        PARIS-NORD-EST      123h 21' 13''   + 01h 19' 40''
30   GEORGES GROUSSARD      130        OUEST-SUD OUEST     123h 22' 31''   + 01h 20' 58''
31   LOUIS ROSTOLLAN        23         FRANCE              123h 24' 45''   + 01h 23' 12''
32   ANDRÉ DARRIGADE        16         FRANCE              123h 26' 24''   + 01h 24' 51''
33   ALDO BOLZAN            80         SUISSE-LUXEMBOURG   123h 27' 38''   + 01h 26' 05''
34   JEAN MILESI            120        CENTRE-MIDI         123h 28' 12''   + 01h 26' 39''
35   JEAN FORESTIER         18         FRANCE              123h 29' 44''   + 01h 28' 11''
36   JEAN-BAPTISTE CLAES    27         BELGIQUE            123h 29' 58''   + 01h 28' 25''
37   MARCEL ERNZER          81         SUISSE-LUXEMBOURG   123h 33' 30''   + 01h 31' 57''
38   LUIS OTANO             45         ESPAGNE             123h 33' 40''   + 01h 32' 07''
39   VALENTIN HUOT          117        CENTRE-MIDI         123h 36' 23''   + 01h 34' 50''
40   ROBERT CAZALA          15         FRANCE              123h 37' 56''   + 01h 36' 23''
41   GÉRARD THIELIN         124        CENTRE-MIDI         123h 40' 20''   + 01h 38' 47''
42   JEAN STABLINSKI        24         FRANCE              123h 40' 43''   + 01h 39' 10''
43   RENZO ACCORDI          1          ITALIE              123h 48' 16''   + 01h 46' 43''
44   MARIO MINIERI          9          ITALIE              123h 49' 22''   + 01h 47' 49''
45   JOSEPH GROUSSARD       20         FRANCE              123h 50' 33''   + 01h 49' 00''
46   LOUIS BERGAUD          114        CENTRE-MIDI         123h 51' 36''   + 01h 50' 03''
47   SEAMUS ELLIOTT         88         GRANDE-BRETAGNE     123h 52' 38''   + 01h 51' 05''
48   EMMANUEL BUSTO         115        CENTRE-MIDI         123h 56' 18''   + 01h 54' 45''
49   JULIO SAN EMETERIO     48         ESPAGNE             123h 56' 28''   + 01h 54' 55''
50   ROBERTO FALASCHI       6          ITALIE              124h 01' 55''   + 02h 00' 22''
51   PIET DAMEN             49         PAYS BAS            124h 04' 45''   + 02h 03' 12''
52   ANTOINE ABATE          113        CENTRE-MIDI         124h 05' 39''   + 02h 04' 06''
53   BRIAN ROBINSON         95         GRANDE-BRETAGNE     124h 05' 56''   + 02h 04' 23''
54   DIETER PUSCHEL         70         ALLEMAGNE           124h 09' 30''   + 02h 07' 57''
55   JUAN CAMPILLO GARCIA   39         ESPAGNE             124h 11' 19''   + 02h 09' 46''
56   ARMANDO PELLEGRINI     10         ITALIE              124h 11' 55''   + 02h 10' 22''
57   BERNARD VIOT           111        PARIS-NORD-EST      124h 21' 33''   + 02h 20' 00''
58   JOOP KERSTEN           53         PAYS BAS            124h 21' 45''   + 02h 20' 12''
59   GUY IGNOLIN            132        OUEST-SUD OUEST     124h 23' 37''   + 02h 22' 04''
60   ROLF GRAF              75         SUISSE-LUXEMBOURG   124h 25' 46''   + 02h 24' 13''
61   MARTIN VAN GENEUGDEN   35         BELGIQUE            124h 27' 57''   + 02h 26' 24''
62   RENÉ MARIGIL           43         ESPAGNE             124h 30' 42''   + 02h 29' 09''
63   FRITZ GALATI           73         SUISSE-LUXEMBOURG   124h 31' 37''   + 02h 30' 04''
64   ANTOON VAN DER STEEN   58         PAYS BAS            124h 33' 08''   + 02h 31' 35''
65   KENNETH LAIDLAW        90         GRANDE-BRETAGNE     124h 47' 20''   + 02h 45' 47''
66   JAN WESTDORP           60         PAYS BAS            124h 53' 12''   + 02h 51' 39''
67   SERGE RUCHET           77         SUISSE-LUXEMBOURG   124h 55' 56''   + 02h 54' 23''
68   PIERRE EVERAERT        17         FRANCE              125h 02' 35''   + 03h 01' 02''
69   ANTONIO ITURAT         41         ESPAGNE             125h 09' 35''   + 03h 08' 02''
70   RAYMOND HOORELBEKE     106        PARIS-NORD-EST      125h 20' 15''   + 03h 18' 42''
71   JEAN-CLAUDE LEFEBVRE   109        PARIS-NORD-EST      125h 38' 22''   + 03h 36' 49''
72   ANDRÉ GENESTE          104        PARIS-NORD-EST      126h 14' 29''   + 04h 12' 56''

Next rankings
