Tour de France 1963

Number of stages 21
Distance (km) 4 138
Average speed 37.092

All about year 1963

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider           Rider No.                   Team                       Times            Gap       B P
1     JACQUES ANQUETIL          1          V.C. XII-SAINT RAPHAEL-GITANE-DUNLOP    113h 30' 05''
2     FEDERICO BAHAMONTES       41         MARGNAT-PALOMA-MOTUL-DUNLOP             113h 33' 40''  + 00h 03' 35''
3     JOSÉ PEREZ-FRANCES        77         FERRYS                                  113h 40' 19''  + 00h 10' 14''
4     JEAN-CLAUDE LEBAUBE       7          V.C. XII-SAINT RAPHAEL-GITANE-DUNLOP    113h 42' 00''  + 00h 11' 55''
5     ARMAND DESMET             23         FAEMA-FLANDRIA                          113h 45' 05''  + 00h 15' 00''
6     ANGELINO SOLER            29         FAEMA-FLANDRIA                          113h 45' 09''  + 00h 15' 04''
7     RENZO FONTONA             93         I.B.A.C-MOLTENI                         113h 45' 32''  + 00h 15' 27''
8     RAYMOND POULIDOR          17         MERCIER-BP-HUTCHINSON                   113h 46' 51''  + 00h 16' 46''
9     HANS JUNKERMANN           35         WIELS-GROENE LEEUW                      113h 48' 58''  + 00h 18' 53''
10    RIK VAN LOOY              88         G.B.C-LIBERTAS                          113h 49' 29''  + 00h 19' 24''
11    HENRI ANGLADE             61         PELFORTH-SAUVAGE-LEJEUNE-WOLBER         113h 51' 44''  + 00h 21' 39''
12    FERNANDO MANZANEQUE       74         FERRYS                                  113h 52' 35''  + 00h 22' 30''
13    EDDY PAUWELS              38         WIELS-GROENE LEEUW                      113h 55' 08''  + 00h 25' 03''
14    FRANCISCO GABICA          104        KAS                                     113h 56' 49''  + 00h 26' 44''
15    DIETER PUSCHEL            39         WIELS-GROENE LEEUW                      113h 58' 25''  + 00h 28' 20''
16    ALAN RAMSBOTTOM           70         PELFORTH-SAUVAGE-LEJEUNE-WOLBER         114h 00' 41''  + 00h 30' 36''
17    MIGUEL PACHECO            106        KAS                                     114h 01' 41''  + 00h 31' 36''
