Tour de France 1967

Number of stages 22
Distance (km) 4 779
Average speed 34.756

All about year 1967

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank           Rider           Rider No.         Team             Times            Gap        B P
1    ROGER PINGEON             7          FRANCE              135h 50' 13''
1    ROGER PINGEON             7          FRANCE              136h 53' 50''
2    JULIO JIMENEZ             35         ESPANA              135h 51' 52''  + 00h 01' 39''
2    JULIO JIMENEZ             35         ESPANA              136h 57' 30''  + 00h 03' 40''
3    FRANCO BALMAMION          101        PRIMAVERA           137h 01' 13''  + 00h 07' 23''
3    DÉSIRÉ LETORT             115        BLEUETS DE FRANCE   135h 56' 06''  + 00h 05' 53''
4    DÉSIRÉ LETORT             115        BLEUETS DE FRANCE   137h 02' 08''  + 00h 08' 18''
5    JAN JANSSEN               64         NEDERLAND           137h 03' 37''  + 00h 09' 47''
6    LUCIEN AIMAR              1          FRANCE              137h 03' 37''  + 00h 09' 47''
7    FELICE GIMONDI            56         ITALIA              137h 04' 04''  + 00h 10' 14''
8    JOSEPH HUYSMANS           22         BELGIQUE            137h 10' 35''  + 00h 16' 45''
9    RAYMOND POULIDOR          8          FRANCE              137h 12' 08''  + 00h 18' 18''
10   FERNANDO MANZANEQUE       98         ESPERANZA           137h 13' 12''  + 00h 19' 22''
11   HANS JUNKERMANN           13         DEUTSCHLAND         137h 16' 52''  + 00h 23' 02''
12   WILLY MONTY               23         BELGIQUE            137h 16' 56''  + 00h 23' 06''
13   FRANS BRANDS              21         BELGIQUE            137h 18' 58''  + 00h 25' 08''
14   CEES HAAST                62         NEDERLAND           137h 20' 13''  + 00h 26' 23''
15   FRANCO BODRERO            103        PRIMAVERA           137h 20' 20''  + 00h 26' 30''
16   NOËL VAN CLOOSTER         88         DIABLES ROUGES      137h 20' 30''  + 00h 26' 40''
17   JOSÉ SAMYN                119        BLEUETS DE FRANCE   137h 22' 32''  + 00h 28' 42''
18   GINES GARCIA              34         ESPANA              137h 22' 46''  + 00h 28' 56''
19   ANDRÉ BAYSSIERE           122        COQS DE FRANCE      137h 23' 13''  + 00h 29' 23''
20   JOHNNY SCHLECK            77         SUISSE-LUXEMBOURG   137h 25' 59''  + 00h 32' 09''
21   HENRI RABAUTE             117        BLEUETS DE FRANCE   137h 28' 32''  + 00h 34' 42''
22   GIANCARLO POLIDORI        106        PRIMAVERA           137h 29' 54''  + 00h 36' 04''
23   JEAN-CLAUDE LEBAUBE       128        COQS DE FRANCE      137h 31' 13''  + 00h 37' 23''
24   HERMAN VANSPRINGEL        30         BELGIQUE            137h 31' 44''  + 00h 37' 54''
