Tour de France 1971

Number of stages 20
Distance (km) 3 608
Average speed 38.084

All about year 1971

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider             Rider No.          Team              Times           Gap        B P
1    EDDY MERCKX                  1          MOLTENI               96h 45' 14''
2    JOOP ZOETEMELK               20         MARS-FLANDRIA         96h 55' 05''  + 00h 09' 51''
3    LUCIEN VAN IMPE              40         SONOLOR-LEJEUNE       96h 56' 20''  + 00h 11' 06''
4    BERNARD THEVENET             80         PEUGEOT-BP-MICHELIN   97h 00' 04''  + 00h 14' 50''
5    JOAQUIM AGOSTINHO            81         HOOVER-DE GRIBALDY    97h 06' 14''  + 00h 21' 00''
6    LEIF MORTENSEN               97         BIC                   97h 06' 52''  + 00h 21' 38''
7    VIRGINIO LEVATI              56         SALVARANI             97h 08' 12''  + 00h 22' 58''
8    BERNARD LABOURDETTE          95         BIC                   97h 15' 19''  + 00h 30' 05''
9    LUCIEN AIMAR                 31         SONOLOR-LEJEUNE       97h 17' 57''  + 00h 32' 43''
10   VICENTE LOPEZ-CARRIL         66         KAS                   97h 21' 12''  + 00h 35' 58''
11   FRANCISCO GALDOS             63         KAS                   97h 27' 11''  + 00h 41' 57''
12   PRIMO MORI                   57         SALVARANI             97h 32' 56''  + 00h 47' 42''
13   ANTONIO MARTOS               127        WERNER                97h 33' 25''  + 00h 48' 11''
14   HERMAN VANSPRINGEL           9          MOLTENI               97h 33' 32''  + 00h 48' 18''
15   AUGUSTIN TAMAMES             129        WERNER                97h 34' 31''  + 00h 49' 17''
16   MARINUS ''RINI'' WAGTMANS    10         MOLTENI               97h 38' 02''  + 00h 52' 48''
17   DÉSIRÉ LETORT                96         BIC                   97h 43' 05''  + 00h 57' 51''
18   JEAN-PIERRE DANGUILLAUME     73         PEUGEOT-BP-MICHELIN   97h 44' 23''  + 00h 59' 09''
19   MAURO SIMONETTI              29         FERRETTI              97h 48' 19''  + 01h 03' 05''
20   JEAN DUMONT                  76         PEUGEOT-BP-MICHELIN   97h 49' 02''  + 01h 03' 48''
21   VICTOR VAN SCHIL             8          MOLTENI               97h 52' 41''  + 01h 07' 27''
22   JOHNNY SCHLECK               99         BIC                   97h 53' 48''  + 01h 08' 34''
23   MICHEL PERIN                 48         FAGOR-MERCIER         97h 54' 32''  + 01h 09' 18''
