Tour de France 1972

Number of stages 20
Distance (km) 3 846
Average speed 35.514

All about year 1972

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider            Rider No.                 Team                     Times            Gap       B P
1     EDDY MERCKX                 1          MOLTENI                             108h 17' 18''
1     EDDY MERCKX                 1          MOLTENI                             105h 44' 58''
2     FELICE GIMONDI              92         SALVARANI                           108h 27' 59''  + 00h 10' 41''
2     FELICE GIMONDI              92         SALVARANI                           105h 55' 39''  + 00h 10' 41''
3     RAYMOND POULIDOR            76         GAN-MERCIER-HUTCHINSON              105h 56' 32''  + 00h 11' 34''
3     RAYMOND POULIDOR            76         GAN-MERCIER-HUTCHINSON              108h 28' 52''  + 00h 11' 34''
4     LUCIEN VAN IMPE             32         SONOLOR                             108h 34' 03''  + 00h 16' 45''
5     JOOP ZOETEMELK              22         BEAULIEU-FLANDRIA                   108h 36' 27''  + 00h 19' 09''
6     MARIANO MARTINEZ            50         DE GRIBALDY-MAGNIFLEX-VAN CAUTER    108h 38' 49''  + 00h 21' 31''
7     YVES HEZARD                 25         SONOLOR                             108h 39' 10''  + 00h 21' 52''
8     JOAQUIM AGOSTINHO           46         DE GRIBALDY-MAGNIFLEX-VAN CAUTER    108h 51' 34''  + 00h 34' 16''
9     BERNARD THEVENET            43         PEUGEOT-BP-MICHELIN                 108h 54' 29''  + 00h 37' 11''
10    JAN JANSSEN                 48         DE GRIBALDY-MAGNIFLEX-VAN CAUTER    108h 59' 51''  + 00h 42' 33''
11    RAYMOND DELISLE             37         PEUGEOT-BP-MICHELIN                 109h 03' 45''  + 00h 46' 27''
12    LEIF MORTENSEN              61         BIC                                 109h 03' 57''  + 00h 46' 39''
13    TONY HOUBRECHTS             95         SALVARANI                           109h 04' 59''  + 00h 47' 41''
14    ROGER SWERTS                9          MOLTENI                             109h 06' 46''  + 00h 49' 28''
15    MARTIN VAN DEN BOSSCHE      10         MOLTENI                             109h 16' 51''  + 00h 59' 33''
16    FRANS VEERBECK              131        WATNEY-AVIA                         109h 17' 27''  + 01h 00' 09''
17    LUCIEN AIMAR                78         ROKADO                              109h 20' 59''  + 01h 03' 41''
18    TINO TABAK                  105        GOUDSMIT-HOFF                       109h 21' 27''  + 01h 04' 09''
19    MICHEL PERIN                75         GAN-MERCIER-HUTCHINSON              109h 23' 37''  + 01h 06' 19''
20    KARL-HEINZ KUNDE            82         ROKADO                              109h 27' 27''  + 01h 10' 09''
21    JEAN-PIERRE DANGUILLAUME    35         PEUGEOT-BP-MICHELIN                 109h 32' 09''  + 01h 14' 51''
22    JOS DE SCHOENMACKER         3          MOLTENI                             109h 38' 46''  + 01h 21' 28''
23    JOSÉ BEYAERT                47         DE GRIBALDY-MAGNIFLEX-VAN CAUTER    109h 41' 09''  + 01h 23' 51''
24    ROLF WOLFSHOHL              88         ROKADO                              109h 42' 17''  + 01h 24' 59''
25    MATHIEU PUSTJENS            27         SONOLOR                             109h 43' 51''  + 01h 26' 33''
26    JOSEPH BRUYERE              2          MOLTENI                             109h 44' 38''  + 01h 27' 20''
27    WALTER RICCI                28         SONOLOR                             109h 47' 30''  + 01h 30' 12''
28    JOSEPH HUYSMANS             4          MOLTENI                             109h 48' 47''  + 01h 31' 29''
29    GUY SANTY                   64         BIC                                 109h 48' 53''  + 01h 31' 35''
30    JOHNNY SCHLECK              65         BIC                                 109h 49' 24''  + 01h 32' 06''
31    RONALD DE WITTE             38         PEUGEOT-BP-MICHELIN                 109h 51' 40''  + 01h 34' 22''
32    JOËL MILLARD                51         DE GRIBALDY-MAGNIFLEX-VAN CAUTER    109h 54' 46''  + 01h 37' 28''
33    WILLY VAN NESTE             21         BEAULIEU-FLANDRIA                   109h 56' 29''  + 01h 39' 11''
34    GILBERT BELLONE             79         ROKADO                              109h 56' 57''  + 01h 39' 39''
35    SYLVAIN VASSEUR             66         BIC                                 109h 58' 31''  + 01h 41' 13''
36    GÉRARD MONEYRON             73         GAN-MERCIER-HUTCHINSON              109h 59' 04''  + 01h 41' 46''
