Tour de France 1981

Number of stages 22
Distance (km) 3 753
Average speed 38.960

All about year 1981

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                   Rider                  Rider No.              Team                  Times           Gap       B P
1     BERNARD HINAULT                         131        RENAULT-GITANE                91h 34' 14''
2     LUCIEN VAN IMPE                         81         BOSTON-MAVIC                  91h 48' 48''  + 00h 14' 34''
3     ROBERT ALBAN                            51         LA REDOUTE-MOTOBECANE         91h 51' 18''  + 00h 17' 04''
4     JOOP ZOETEMELK                          1          TI-RALEIGH-CREDA              91h 52' 35''  + 00h 18' 21''
5     PETER WINNEN                            70         CAPRI SONNE- KOGA MIYATA      91h 54' 40''  + 00h 20' 26''
6     JEAN-RENÉ BERNAUDEAU                    11         PEUGEOT-ESSO-MICHELIN         91h 57' 16''  + 00h 23' 02''
7     JOHAN DE MUYNCK                         31         WICKES-SPLENDOR-EUROP DECOR   91h 58' 39''  + 00h 24' 25''
8     SVEN-AKE NILSSON                        36         WICKES-SPLENDOR-EUROP DECOR   91h 58' 51''  + 00h 24' 37''
9     CLAUDE CRIQUIELION                      34         WICKES-SPLENDOR-EUROP DECOR   92h 00' 32''  + 00h 26' 18''
10    PHIL ANDERSON                           12         PEUGEOT-ESSO-MICHELIN         92h 01' 14''  + 00h 27' 00''
11    FONS DE WOLF                            141        VERMEER THIJS-GIOS            92h 03' 07''  + 00h 28' 53''
12    JOHAN VAN DER VELDE                     9          TI-RALEIGH-CREDA              92h 04' 00''  + 00h 29' 46''
13    MARCEL TINAZZI                          50         SEM-FRANCE-LOIRE              92h 04' 17''  + 00h 30' 03''
14    PAUL WELLENS                            128        SUNAIR-COLNAGO                92h 06' 23''  + 00h 32' 09''
15    MARIANO MARTINEZ                        54         LA REDOUTE-MOTOBECANE         92h 06' 30''  + 00h 32' 16''
16    EDDY SCHEPERS                           108        DAF TRUCKS-COTE D'OR          92h 07' 41''  + 00h 33' 27''
17    RAYMOND MARTIN                          21         MIKO-MERCIER-VIVAGEL          92h 07' 55''  + 00h 33' 41''
18    MICHEL LAURENT                          17         PEUGEOT-ESSO-MICHELIN         92h 08' 55''  + 00h 34' 41''
19    JEAN-FRANÇOIS RODRIGUEZ                 139        RENAULT-GITANE                92h 12' 46''  + 00h 38' 32''
20    GRAHAM JONES                            16         PEUGEOT-ESSO-MICHELIN         92h 15' 20''  + 00h 41' 06''
21    ALBERTO FERNANDEZ DE LA PUEBLA RAMOS    95         TEKA                          92h 16' 41''  + 00h 42' 27''
22    LUCIEN DIDIER                           137        RENAULT-GITANE                92h 23' 40''  + 00h 49' 26''
23    JACQUES MICHAUD                         47         SEM-FRANCE-LOIRE              92h 24' 37''  + 00h 50' 23''
24    DOMINIQUE ARNAUD                        72         PUCH-WOLBER                   92h 26' 29''  + 00h 52' 15''
25    GERRY VERLINDEN                         121        SUNAIR-COLNAGO                92h 27' 02''  + 00h 52' 48''
26    DIDIER VANOVERSCHEDE                    60         LA REDOUTE-MOTOBECANE         92h 27' 27''  + 00h 53' 13''
27    CHARLY BERARD                           134        RENAULT-GITANE                92h 30' 20''  + 00h 56' 06''
28    GILBERT DUCLOS-LASSALLE                 15         PEUGEOT-ESSO-MICHELIN         92h 30' 51''  + 00h 56' 37''
29    RÉGIS OVION                             77         PUCH-WOLBER                   92h 30' 57''  + 00h 56' 43''
30    HENNIE KUIPER                           101        DAF TRUCKS-COTE D'OR          92h 31' 35''  + 00h 57' 21''
31    PIERRE BAZZO                            52         LA REDOUTE-MOTOBECANE         92h 32' 14''  + 00h 58' 00''
32    JONATHAN BOYER                          136        RENAULT-GITANE                92h 33' 35''  + 00h 59' 21''
33    SERGE BEUCHERIE                         42         SEM-FRANCE-LOIRE              92h 35' 54''  + 01h 01' 40''
34    JOSTEIN WILMANN                         69         CAPRI SONNE- KOGA MIYATA      92h 37' 00''  + 01h 02' 46''
35    MARINO LEJARETTA                        91         TEKA                          92h 44' 51''  + 01h 10' 37''
36    CHRISTIAN SEZNEC                        30         MIKO-MERCIER-VIVAGEL          92h 46' 57''  + 01h 12' 43''
37    BERNARD THEVENET                        71         PUCH-WOLBER                   92h 47' 02''  + 01h 12' 48''
38    VICENTE BELDA                           113        KELME                         92h 48' 37''  + 01h 14' 23''
39    THÉO DE ROOY                            64         CAPRI SONNE- KOGA MIYATA      92h 50' 16''  + 01h 16' 02''
40    RONNY CLAES                             62         CAPRI SONNE- KOGA MIYATA      92h 51' 22''  + 01h 17' 08''
41    ALAIN MESLET                            86         BOSTON-MAVIC                  92h 52' 52''  + 01h 18' 38''
42    JORGE FORTIA                            114        KELME                         92h 57' 42''  + 01h 23' 28''
43    ALAIN VIGNERON                          140        RENAULT-GITANE                92h 59' 06''  + 01h 24' 52''
44    PATRICK PERRET                          20         PEUGEOT-ESSO-MICHELIN         93h 00' 09''  + 01h 25' 55''
45    BERNARD VALLET                          57         LA REDOUTE-MOTOBECANE         93h 00' 24''  + 01h 26' 10''
46    HUBERT LINARD                           19         PEUGEOT-ESSO-MICHELIN         93h 00' 26''  + 01h 26' 12''
47    PATRICK FRIOU                           24         MIKO-MERCIER-VIVAGEL          93h 01' 34''  + 01h 27' 20''
48    SEAN KELLY                              35         WICKES-SPLENDOR-EUROP DECOR   93h 02' 38''  + 01h 28' 24''
49    KLAUS-PETER THALER                      79         PUCH-WOLBER                   93h 03' 05''  + 01h 28' 51''
50    JUAN FERNANDEZ                          111        KELME                         93h 05' 00''  + 01h 30' 46''
