Tour de France 1987

Number of stages 25
Distance (km) 4 231
Average speed 36.645

All about year 1987

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank              Rider             Rider No.                   Team                      Times            Gap       B P
1     STEPHEN ROCHE                 11         CARRERA JEANS                          115h 27' 42''
2     PEDRO DELGADO                 51         PDM                                    115h 28' 22''  + 00h 00' 40''
3     JEAN-FRANÇOIS BERNARD         1          TOSHIBA-LOOK-LA VIE CLAIRE             115h 29' 55''  + 00h 02' 13''
4     CHARLY MOTTET                 68         SYSTEME U                              115h 34' 22''  + 00h 06' 40''
5     LUIS ''LUCHO'' HERRERA        131        CAFÉ DE COLOMBIA                       115h 37' 14''  + 00h 09' 32''
6     FABIO PARRA                   137        CAFÉ DE COLOMBIA                       115h 44' 35''  + 00h 16' 53''
7     LAURENT FIGNON                61         SYSTEME U                              115h 46' 06''  + 00h 18' 24''
8     ANSELMO FUERTE                41         B.H.                                   115h 46' 15''  + 00h 18' 33''
9     RAÚL ALCALÁ                   192        SEVEN ELEVEN-HOONVED                   115h 49' 31''  + 00h 21' 49''
10    MARINO LEJARETTA              111        CAJA RURAL-ORBEA                       115h 53' 55''  + 00h 26' 13''
11    CLAUDE CRIQUIELION            21         HITACHI-MARC-ROSSIN-MAVIC              115h 58' 14''  + 00h 30' 32''
12    FEDERICO ECHAVE               46         B.H.                                   115h 58' 48''  + 00h 31' 06''
13    MARTIN RAMIREZ                139        CAFÉ DE COLOMBIA                       116h 04' 37''  + 00h 36' 55''
14    GÉRARD ZADROBILEK             219        SUPERMERCATI BRIANZOLI-CHATEAU D'AX    116h 08' 17''  + 00h 40' 35''
15    LUCIANO LORO                  164        DEL TONGO-COLNAGO                      116h 11' 34''  + 00h 43' 52''
16    ANDREW ''ANDY'' HAMPSTEN      191        SEVEN ELEVEN-HOONVED                   116h 11' 49''  + 00h 44' 07''
17    JEAN-RENÉ BERNAUDEAU          123        FAGOR                                  116h 14' 58''  + 00h 47' 16''
18    RAFAËL ACEVEDO PORRAS         132        CAFÉ DE COLOMBIA                       116h 18' 15''  + 00h 50' 33''
19    ROBERT MILLAR                 155        PANASONIC-ISOSTAR                      116h 18' 29''  + 00h 50' 47''
20    DENIS ROUX                    37         Z-PEUGEOT                              116h 19' 55''  + 00h 52' 13''
21    ERIK BREUKINK                 152        PANASONIC-ISOSTAR                      116h 21' 17''  + 00h 53' 35''
22    PEDRO MUNOZ                   121        FAGOR                                  116h 27' 09''  + 00h 59' 27''
23    ERIC CARITOUX                 124        FAGOR                                  116h 33' 15''  + 01h 05' 33''
24    OMAR HERNANDEZ                94         RYALCAO-MANZANA-POSTOBON               116h 41' 52''  + 01h 14' 10''
25    EDUARDO CHOZAS OLMO           84         TEKA                                   116h 42' 41''  + 01h 14' 59''
26    NICO BREU                     182        JOKER-EMERXIL-EDDY MERCKX              116h 47' 44''  + 01h 20' 02''
27    PHIL ANDERSON                 151        PANASONIC-ISOSTAR                      116h 48' 25''  + 01h 20' 43''
28    GILLES SANDERS                179        KAS-MIKO-MAVIC                         116h 48' 39''  + 01h 20' 57''
29    JESPER SKIBBY                 206        ROLAND-SKALA-CHIORI-COLNAGO            116h 48' 55''  + 01h 21' 13''
30    EDDY SCHEPERS                 18         CARRERA JEANS                          116h 49' 55''  + 01h 22' 13''
31    GUIDO VAN CALSTER             49         B.H.                                   116h 54' 29''  + 01h 26' 47''
32    GILLES MAS                    106        RMO-MERAL-MAVIC                        116h 54' 30''  + 01h 26' 48''
33    JEAN-CLAUDE BAGOT             122        FAGOR                                  116h 54' 58''  + 01h 27' 16''
34    MARTIAL GAYANT                63         SYSTEME U                              116h 56' 59''  + 01h 29' 17''
35    JOSÉ-SALVADOR SANCHIS         119        CAJA RURAL-ORBEA                       116h 57' 48''  + 01h 30' 06''
36    JUAN-CARLOS CASTILLO          135        CAFÉ DE COLOMBIA                       117h 00' 43''  + 01h 33' 01''
37    BRUNO CORNILLET               33         Z-PEUGEOT                              117h 01' 19''  + 01h 33' 37''
38    ROBERT FÖRSTER                126        FAGOR                                  115h 27' 41''
39    DAG OTTO LAURITZEN            196        SEVEN ELEVEN-HOONVED                   117h 03' 34''  + 01h 35' 52''
40    CHRISTOPHE LAVAINNE           64         SYSTEME U                              117h 03' 54''  + 01h 36' 12''
41    JOKIN MUJIKA                  116        CAJA RURAL-ORBEA                       117h 03' 57''  + 01h 36' 15''
42    JÉRÔME SIMON                  38         Z-PEUGEOT                              117h 04' 07''  + 01h 36' 25''
43    JOSÉ-LUIS LAGUIA              53         PDM                                    117h 06' 09''  + 01h 38' 27''
44    MARCO-ANTONIO LEON            136        CAFÉ DE COLOMBIA                       117h 07' 22''  + 01h 39' 40''
45    PETER STEVENHAAGEN            57         PDM                                    117h 09' 32''  + 01h 41' 50''
46    JULIO-CÉSAR CADENA            134        CAFÉ DE COLOMBIA                       117h 11' 53''  + 01h 44' 11''
47    MARC MADIOT                   65         SYSTEME U                              117h 14' 28''  + 01h 46' 46''
48    GERT-JAN THEUNISSE            58         PDM                                    117h 20' 47''  + 01h 53' 05''
49    ROLF GOLZ                     142        SUPERCONFEX-KWANTUM-YOKO-COLNAGO       117h 22' 06''  + 01h 54' 24''
50    JEAN-CLAUDE LECLERCQ          7          TOSHIBA-LOOK-LA VIE CLAIRE             117h 22' 22''  + 01h 54' 40''
51    FABIAN FUCHS                  24         HITACHI-MARC-ROSSIN-MAVIC              117h 22' 53''  + 01h 55' 11''
52    ROQUE DE LA CRUZ              112        CAJA RURAL-ORBEA                       117h 23' 18''  + 01h 55' 36''
53    PASCAL SIMON                  31         Z-PEUGEOT                              117h 26' 01''  + 01h 58' 19''
54    DOMINIQUE GARDE               5          TOSHIBA-LOOK-LA VIE CLAIRE             117h 26' 46''  + 01h 59' 04''
55    SILVANO CONTINI               162        DEL TONGO-COLNAGO                      117h 26' 57''  + 01h 59' 15''
56    ERIC VAN LANCKER              158        PANASONIC-ISOSTAR                      117h 27' 28''  + 01h 59' 46''
57    BERNARD GAVILLET              62         SYSTEME U                              117h 28' 00''  + 02h 00' 18''
58    ENRIQUE ALBERTO AJA CAGIGAS   82         TEKA                                   117h 28' 30''  + 02h 00' 48''
59    CHARLY BERARD                 4          TOSHIBA-LOOK-LA VIE CLAIRE             117h 29' 13''  + 02h 01' 31''
60    BERNARD VALLET                108        RMO-MERAL-MAVIC                        117h 32' 21''  + 02h 04' 39''
61    GUY NULENS                    156        PANASONIC-ISOSTAR                      117h 33' 28''  + 02h 05' 46''
62    KIM ANDERSEN                  2          TOSHIBA-LOOK-LA VIE CLAIRE             117h 33' 30''  + 02h 05' 48''
