Tour de France 1992

Number of stages 21
Distance (km) 3 983
Average speed 39.504

All about year 1992

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider             Rider No.           Team               Times            Gap        B P
1    MIGUEL INDURAIN               1          BANESTO                 100h 49' 30''
2    CLAUDIO CHIAPPUCCI            21         CARRERA JEANS-TASSONI   100h 54' 05''  + 00h 04' 35''
3    GIANNI BUGNO                  11         GATORADE-CHATEAU D'AX   101h 00' 19''  + 00h 10' 49''
4    ANDREW ''ANDY'' HAMPSTEN      61         MOTOROLA                101h 03' 10''  + 00h 13' 40''
5    PASCAL LINO                   34         RMO-MAVIC               101h 04' 07''  + 00h 14' 37''
6    PEDRO DELGADO                 5          BANESTO                 101h 04' 46''  + 00h 15' 16''
7    ERIK BREUKINK                 211        PDM-CONCORDE            101h 08' 21''  + 00h 18' 51''
8    GIANCARLO PERINI              27         CARRERA JEANS-TASSONI   101h 08' 46''  + 00h 19' 16''
9    STEPHEN ROCHE                 28         CARRERA JEANS-TASSONI   101h 09' 53''  + 00h 20' 23''
10   JENS HEPPNER                  155        TELECOM                 101h 15' 00''  + 00h 25' 30''
11   FRANCO VONA                   199        GB-MG-MAGLIFICIO        101h 15' 13''  + 00h 25' 43''
12   ERIC BOYER                    52         Z                       101h 15' 46''  + 00h 26' 16''
13   GERT-JAN THEUNISSE            91         TVM                     101h 16' 37''  + 00h 27' 07''
14   EDDY BOUWMANS                 102        PANASONIC-SPORTLIFE     101h 18' 05''  + 00h 28' 35''
15   GÉRARD RUE                    49         CASTORAMA               101h 18' 18''  + 00h 28' 48''
16   FRANCO CHIOCCIOLI             191        GB-MG-MAGLIFICIO        101h 20' 01''  + 00h 30' 31''
17   STEVEN ROOKS                  131        BUCKLER                 101h 20' 39''  + 00h 31' 09''
18   ROBERT MILLAR                 96         TVM                     101h 20' 49''  + 00h 31' 19''
19   FRANCISCO JAVIER MAULEON      167        CLAS-CAJASTUR           101h 20' 57''  + 00h 31' 27''
20   ARSENIO GONZALEZ              165        CLAS-CAJASTUR           101h 21' 21''  + 00h 31' 51''
21   RAÚL ALCALÁ                   212        PDM-CONCORDE            101h 22' 50''  + 00h 33' 20''
22   JON UNZAGA                    169        CLAS-CAJASTUR           101h 26' 13''  + 00h 36' 43''
23   LAURENT FIGNON                15         GATORADE-CHATEAU D'AX   101h 31' 21''  + 00h 41' 51''
24   OSCAR DE JÉSUS VARGAS         129        AMAYA SEGUROS           101h 32' 49''  + 00h 43' 19''
25   RICHARD VIRENQUE              38         RMO-MAVIC               101h 35' 31''  + 00h 46' 01''
26   JAVIER MURGUIALDAY            125        AMAYA SEGUROS           101h 36' 00''  + 00h 46' 30''
27   JÉRÔME SIMON                  59         Z                       101h 42' 18''  + 00h 52' 48''
28   ALBERTO ELLI                  145        ARIOSTEA                101h 43' 59''  + 00h 54' 29''
29   THIERRY BOURGUIGNON           44         CASTORAMA               101h 49' 20''  + 00h 59' 50''
30   JIM VAN DE LAER               208        TULIP-COMPUTERS         101h 49' 59''  + 01h 00' 29''
31   ENRIQUE ALONSO                182        FESTINA                 101h 54' 04''  + 01h 04' 34''
32   ARTURAS CEPELE                113        RYALCAO-POSTOBON        101h 58' 30''  + 01h 09' 00''
33   THIERRY CLAVEYROLAT           53         Z                       101h 58' 45''  + 01h 09' 15''
34   LAURENT JALABERT              84         ONCE                    101h 59' 38''  + 01h 10' 08''
35   UDO BÖLTS                     152        TELECOM                 102h 02' 10''  + 01h 12' 40''
36   FRANCISCO ESPINOSA            163        CLAS-CAJASTUR           102h 03' 32''  + 01h 14' 02''
37   ERIC CARITOUX                 32         RMO-MAVIC               102h 03' 54''  + 01h 14' 24''
38   DIMITRI ZHDANOV               109        PANASONIC-SPORTLIFE     102h 06' 34''  + 01h 17' 04''
39   JEAN-FRANÇOIS BERNARD         3          BANESTO                 102h 06' 50''  + 01h 17' 20''
40   MASSIMO GHIROTTO              25         CARRERA JEANS-TASSONI   102h 07' 17''  + 01h 17' 47''
41   LUIS PEREZ                    187        FESTINA                 102h 07' 22''  + 01h 17' 52''
42   YVON LEDANOIS                 46         CASTORAMA               102h 09' 13''  + 01h 19' 43''
43   SEAN KELLY                    181        FESTINA                 102h 11' 07''  + 01h 21' 37''
44   JEAN-CYRIL ROBIN              48         CASTORAMA               102h 15' 52''  + 01h 26' 22''
45   FERNANDO ESCARTIN             162        CLAS-CAJASTUR           102h 18' 45''  + 01h 29' 15''
46   MAURIZIO FONDRIEST            101        PANASONIC-SPORTLIFE     102h 20' 15''  + 01h 30' 45''
47   JULIAN GOROSPE                7          BANESTO                 102h 22' 56''  + 01h 33' 26''
48   DOMINIQUE ARNOULD             42         CASTORAMA               102h 25' 04''  + 01h 35' 34''
49   ATLE KVALSVOLL                57         Z                       102h 25' 10''  + 01h 35' 40''
50   HARALD MAIER                  217        PDM-CONCORDE            102h 25' 26''  + 01h 35' 56''
51   JAN NEVENS                    174        LOTTO-BELGACOM          102h 25' 55''  + 01h 36' 25''
52   RONAN PENSEC                  36         RMO-MAVIC               102h 27' 24''  + 01h 37' 54''
53   DOMINIK KRIEGER               75         HELVETIA-COMMODORE      102h 27' 47''  + 01h 38' 17''
