Tour de France 2010

Number of stages 20
Distance (km) 3 642
Average speed 39.594

All about year 2010

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                 Rider                Rider No.              Team                 Times           Gap       B P
1     ANDY SCHLECK                        11         TEAM SAXO BANK               91h 59' 27''
3     SAMUEL SANCHEZ                      181        EUSKALTEL - EUSKADI          92h 02' 28''  + 00h 03' 01''
4     JURGEN VAN DEN BROECK               101        OMEGA PHARMA - LOTTO         92h 05' 42''  + 00h 06' 15''
5     ROBERT GESINK                       195        RABOBANK                     92h 08' 19''  + 00h 08' 52''
6     RYDER HESJEDAL                      54         GARMIN - TRANSITIONS         92h 09' 03''  + 00h 09' 36''
7     JOAQUIN RODRIGUEZ OLIVER            77         KATUSHA TEAM                 92h 10' 25''  + 00h 10' 58''
8     ROMAN KREUZIGER                     44         LIQUIGAS-DOIMO               92h 10' 42''  + 00h 11' 15''
9     CHRISTOPHER HORNER                  23         TEAM RADIOSHACK              92h 10' 50''  + 00h 11' 23''
10    LUIS LEÓN SANCHEZ                   161        CAISSE D'EPARGNE             92h 13' 09''  + 00h 13' 42''
11    RUBEN PLAZA MOLINA                  168        CAISSE D'EPARGNE             92h 13' 17''  + 00h 13' 50''
12    LEVI LEIPHEIMER                     25         TEAM RADIOSHACK              92h 13' 28''  + 00h 14' 01''
13    ANDREAS KLÖDEN                      24         TEAM RADIOSHACK              92h 15' 24''  + 00h 15' 57''
14    NICOLAS ROCHE                       81         AG2R LA MONDIALE             92h 15' 47''  + 00h 16' 20''
15    ALEXANDRE VINOKOUROV                9          ASTANA                       92h 16' 34''  + 00h 17' 07''
16    THOMAS LÖVKVIST                     37         SKY PRO CYCLING              92h 19' 34''  + 00h 20' 07''
17    KEVIN DE WEERT                      133        QUICK STEP                   92h 20' 42''  + 00h 21' 15''
18    JOHN GADRET                         85         AG2R LA MONDIALE             92h 22' 52''  + 00h 23' 25''
19    CARLOS SASTRE                       91         CERVELO TEST TEAM            92h 25' 25''  + 00h 25' 58''
21    DANIEL MORENO FERNANDEZ             107        OMEGA PHARMA - LOTTO         92h 28' 26''  + 00h 28' 59''
22    CHRISTOPHE MOREAU                   166        CAISSE D'EPARGNE             92h 32' 49''  + 00h 33' 22''
24    BRADLEY WIGGINS                     31         SKY PRO CYCLING              92h 38' 12''  + 00h 38' 45''
25    SANDY CASAR                         62         FDJ                          92h 44' 40''  + 00h 45' 13''
26    CADEL EVANS                         121        BMC RACING TEAM              92h 49' 15''  + 00h 49' 48''
27    JULIEN EL FARES                     174        COFIDIS LE CREDIT EN LIGNE   92h 52' 10''  + 00h 52' 43''
28    CHRISTOPHE RIBLON                   89         AG2R LA MONDIALE             92h 54' 01''  + 00h 54' 34''
29    DAMIANO CUNEGO                      201        LAMPRE - FARNESE             92h 55' 41''  + 00h 56' 14''
30    JOHAN VAN SUMMEREN                  58         GARMIN - TRANSITIONS         92h 57' 41''  + 00h 58' 14''
31    SYLVAIN CHAVANEL                    131        QUICK STEP                   92h 58' 05''  + 00h 58' 38''
32    IVAN BASSO                          41         LIQUIGAS-DOIMO               92h 58' 21''  + 00h 58' 54''
33    MARIO AERTS                         102        OMEGA PHARMA - LOTTO         93h 01' 24''  + 01h 01' 57''
34    VOLODYMIR GUSTOV                    93         CERVELO TEST TEAM            93h 08' 39''  + 01h 09' 12''
35    JUAN MANUEL GARATE                  194        RABOBANK                     93h 08' 51''  + 01h 09' 24''
36    GORKA VERDUGO                       189        EUSKALTEL - EUSKADI          93h 08' 57''  + 01h 09' 30''
37    MICHAEL ROGERS                      118        TEAM HTC - COLUMBIA          93h 08' 59''  + 01h 09' 32''
38    RÉMI PAURIOL                        179        COFIDIS LE CREDIT EN LIGNE   93h 09' 40''  + 01h 10' 13''
39    KANSTANTSIN SIUTSOU                 119        TEAM HTC - COLUMBIA          93h 12' 07''  + 01h 12' 40''
40    EGOI MARTINEZ                       183        EUSKALTEL - EUSKADI          93h 17' 57''  + 01h 18' 30''
41    CARLOS BARREDO                      132        QUICK STEP                   93h 18' 59''  + 01h 19' 32''
42    CHRISTOPHE LE MEVEL                 61         FDJ                          93h 21' 26''  + 01h 21' 59''
43    JANEZ BRAJKOVIC                     22         TEAM RADIOSHACK              93h 22' 14''  + 01h 22' 47''
44    ANTHONY CHARTEAU                    153        BBOX BOUYGUES TELECOM        93h 23' 00''  + 01h 23' 33''
45    CYRIL GAUTIER                       155        BBOX BOUYGUES TELECOM        93h 24' 00''  + 01h 24' 33''
46    SERGIO MIGUEL MOREIRA PAULINHO      27         TEAM RADIOSHACK              93h 24' 31''  + 01h 25' 04''
47    MATTHEW LLOYD                       106        OMEGA PHARMA - LOTTO         93h 28' 50''  + 01h 29' 23''
48    JOSÉ IVAN GUTIERREZ PALACIOS        164        CAISSE D'EPARGNE             93h 37' 14''  + 01h 37' 47''
49    DANIEL NAVARRO GARCIA               6          ASTANA                       93h 37' 18''  + 01h 37' 51''
50    JAKOB FUGLSANG                      14         TEAM SAXO BANK               93h 37' 20''  + 01h 37' 53''
51    STEVE MORABITO                      128        BMC RACING TEAM              93h 37' 59''  + 01h 38' 32''
52    KOOS MOERENHOUT                     196        RABOBANK                     93h 39' 33''  + 01h 40' 06''
53    RAFAEL VALLS FERRI                  219        FOOTON-SERVETTO              93h 41' 15''  + 01h 41' 48''
54    PAOLO TIRALONGO                     8          ASTANA                       93h 43' 49''  + 01h 44' 22''
55    MAXIME MONFORT                      116        TEAM HTC - COLUMBIA          93h 43' 49''  + 01h 44' 22''
56    GRISCHA NIERMANN                    197        RABOBANK                     93h 45' 20''  + 01h 45' 53''
57    PIERRICK FEDRIGO                    154        BBOX BOUYGUES TELECOM        93h 45' 25''  + 01h 45' 58''
58    PIERRE ROLLAND                      156        BBOX BOUYGUES TELECOM        93h 45' 30''  + 01h 46' 03''
59    GEORGE HINCAPIE                     126        BMC RACING TEAM              93h 45' 38''  + 01h 46' 11''
60    VASILI KIRYIENKA                    165        CAISSE D'EPARGNE             93h 46' 42''  + 01h 47' 15''
61    SYLVESTER SZMYD                     48         LIQUIGAS-DOIMO               93h 46' 50''  + 01h 47' 23''
62    IVAN VELASCO                        188        EUSKALTEL - EUSKADI          93h 48' 45''  + 01h 49' 18''
63    JURGEN VAN DE WALLE                 138        QUICK STEP                   93h 50' 21''  + 01h 50' 54''
64    MATHIEU PERGET                      167        CAISSE D'EPARGNE             93h 52' 27''  + 01h 53' 00''
65    ALEXANDR KOLOBNEV                   74         KATUSHA TEAM                 93h 54' 01''  + 01h 54' 34''
66    JÉRÔME PINEAU                       135        QUICK STEP                   93h 56' 46''  + 01h 57' 19''
