Tour de France 2012

Number of stages 20
Distance (km) 3 497
Average speed 39.883

All about year 2012

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank               Rider               Rider No.               Team                  Times           Gap       B P
1    BRADLEY WIGGINS                   101        SKY PROCYCLING                 87h 34' 47''
2    CHRIS FROOME                      105        SKY PROCYCLING                 87h 38' 08''  + 00h 03' 21''
3    VINCENZO NIBALI                   51         LIQUIGAS-CANNONDALE            87h 41' 06''  + 00h 06' 19''
4    JURGEN VAN DEN BROECK             111        LOTTO-BELISOL TEAM             87h 45' 02''  + 00h 10' 15''
5    TEJAY VAN GARDEREN                9          BMC RACING TEAM                87h 45' 51''  + 00h 11' 04''
6    HAIMAR ZUBELDIA AGIRRE            19         RADIOSHACK-NISSAN              87h 50' 28''  + 00h 15' 41''
7    CADEL EVANS                       1          BMC RACING TEAM                87h 50' 36''  + 00h 15' 49''
8    PIERRE ROLLAND                    29         TEAM EUROPCAR                  87h 51' 13''  + 00h 16' 26''
9    JANEZ BRAJKOVIC                   181        ASTANA PRO TEAM                87h 51' 20''  + 00h 16' 33''
10   THIBAUT PINOT                     146        FDJ-BIGMAT                     87h 52' 04''  + 00h 17' 17''
11   ANDREAS KLÖDEN                    15         RADIOSHACK-NISSAN              87h 52' 41''  + 00h 17' 54''
12   NICOLAS ROCHE                     79         AG2R LA MONDIALE               87h 54' 20''  + 00h 19' 33''
13   CHRISTOPHER HORNER                14         RADIOSHACK-NISSAN              87h 54' 42''  + 00h 19' 55''
14   CHRIS ANKER SORENSEN              178        TEAM SAXO BANK-TINKOFF BANK    88h 00' 14''  + 00h 25' 27''
16   MAXIME MONFORT                    16         RADIOSHACK-NISSAN              88h 03' 17''  + 00h 28' 30''
17   EGOI MARTINEZ                     35         EUSKALTEL - EUSKADI            88h 06' 33''  + 00h 31' 46''
18   RUI ALBERTO FARIA DA COSTA        163        MOVISTAR TEAM                  88h 11' 50''  + 00h 37' 03''
19   EDUARD VORGANOV                   139        KATUSHA TEAM                   88h 13' 03''  + 00h 38' 16''
20   ALEJANDRO VALVERDE                161        MOVISTAR TEAM                  88h 17' 13''  + 00h 42' 26''
21   JÉRÔME COPPEL                     91         SAUR-SOJASUN                   88h 20' 30''  + 00h 45' 43''
22   SANDY CASAR                       141        FDJ-BIGMAT                     88h 21' 39''  + 00h 46' 52''
23   MICHAEL ROGERS                    108        SKY PROCYCLING                 88h 29' 39''  + 00h 54' 52''
24   MICHELE SCARPONI                  41         LAMPRE - ISD                   88h 33' 24''  + 00h 58' 37''
25   IVAN BASSO                        52         LIQUIGAS-CANNONDALE            88h 34' 31''  + 00h 59' 44''
26   THOMAS VOECKLER                   21         TEAM EUROPCAR                  88h 39' 28''  + 01h 04' 41''
27   PETER VELITS                      199        OMEGA PHARMA-QUICK STEP        88h 39' 57''  + 01h 05' 10''
28   LAURENS TEN DAM                   157        RABOBANK CYCLING TEAM          88h 40' 26''  + 01h 05' 39''
29   JELLE VANENDERT                   119        LOTTO-BELISOL TEAM             88h 43' 13''  + 01h 08' 26''
30   JUAN JOSE COBO ACEBO              162        MOVISTAR TEAM                  88h 44' 06''  + 01h 09' 19''
31   ALEXANDRE VINOKOUROV              189        ASTANA PRO TEAM                88h 50' 08''  + 01h 15' 21''
32   LEVI LEIPHEIMER                   191        OMEGA PHARMA-QUICK STEP        88h 51' 16''  + 01h 16' 29''
33   STEVEN KRUIJSWIJK                 152        RABOBANK CYCLING TEAM          88h 51' 39''  + 01h 16' 52''
34   RICHIE PORTE                      107        SKY PROCYCLING                 88h 55' 36''  + 01h 20' 49''
35   DANIEL MARTIN                     65         GARMIN-SHARP                   89h 00' 10''  + 01h 25' 23''
36   REIN TAARAMÄE                     81         COFIDIS LE CREDIT EN LIGNE     89h 02' 39''  + 01h 27' 52''
