Tour de France 2013

Number of stages 21
Distance (km) 3 404
Average speed 40.542

All about year 2013

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                 Rider                Rider No.              Team                 Times           Gap       B P
1     CHRIS FROOME                        1          SKY PROCYCLING               83h 56' 40''
2     NAIRO QUINTANA                      128        MOVISTAR TEAM                84h 01' 00''  + 00h 04' 20''
3     JOAQUIN RODRIGUEZ OLIVER            101        KATUSHA TEAM                 84h 01' 44''  + 00h 05' 04''
4     ALBERTO CONTADOR                    91         TEAM SAXO-TINKOFF            84h 03' 07''  + 00h 06' 27''
5     ROMAN KREUZIGER                     94         TEAM SAXO-TINKOFF            84h 04' 07''  + 00h 07' 27''
6     BAUKE MOLLEMA                       164        BELKIN PRO CYCLING           84h 08' 22''  + 00h 11' 42''
7     JAKOB FUGLSANG                      63         ASTANA PRO TEAM              84h 08' 57''  + 00h 12' 17''
8     ALEJANDRO VALVERDE                  121        MOVISTAR TEAM                84h 12' 06''  + 00h 15' 26''
9     DANIEL NAVARRO GARCIA               139        COFIDIS, SOLUTIONS CREDITS   84h 12' 32''  + 00h 15' 52''
10    ANDREW TALANSKY                     178        GARMIN - SHARP               84h 14' 19''  + 00h 17' 39''
11    MICHAL KWIATKOWSKI                  153        OMEGA PHARMA-QUICK STEP      84h 15' 39''  + 00h 18' 59''
12    MIKEL NIEVE ITURRALDE               116        EUSKALTEL - EUSKADI          84h 16' 41''  + 00h 20' 01''
13    LAURENS TEN DAM                     167        BELKIN PRO CYCLING           84h 18' 19''  + 00h 21' 39''
14    MAXIME MONFORT                      47         RADIOSHACK LEOPARD           84h 20' 18''  + 00h 23' 38''
15    ROMAIN BARDET                       82         AG2R LA MONDIALE             84h 23' 22''  + 00h 26' 42''
16    MICHAEL ROGERS                      98         TEAM SAXO-TINKOFF            84h 23' 31''  + 00h 26' 51''
17    DANIEL MORENO FERNANDEZ             106        KATUSHA TEAM                 84h 29' 14''  + 00h 32' 34''
18    JAN BAKELANTS                       42         RADIOSHACK LEOPARD           84h 32' 31''  + 00h 35' 51''
19    RICHIE PORTE                        6          SKY PROCYCLING               84h 36' 21''  + 00h 39' 41''
20    ANDY SCHLECK                        41         RADIOSHACK LEOPARD           84h 38' 26''  + 00h 41' 46''
21    JOSÉ SERPA                          149        LAMPRE - MERIDA              84h 41' 48''  + 00h 45' 08''
22    JOHN GADRET                         86         AG2R LA MONDIALE             84h 42' 40''  + 00h 46' 00''
23    IGOR ANTON HERNANDEZ                111        EUSKALTEL - EUSKADI          84h 44' 47''  + 00h 48' 07''
24    PIERRE ROLLAND                      51         TEAM EUROPCAR                84h 48' 55''  + 00h 52' 15''
25    PETER VELITS                        159        OMEGA PHARMA-QUICK STEP      84h 50' 40''  + 00h 54' 00''
26    ROBERT GESINK                       162        BELKIN PRO CYCLING           84h 51' 05''  + 00h 54' 25''
27    RUI ALBERTO FARIA DA COSTA          124        MOVISTAR TEAM                84h 51' 14''  + 00h 54' 34''
28    WOUT POELS                          201        VACANSOLEIL-DCM              84h 53' 13''  + 00h 56' 33''
29    ARNOLD JEANNESSON                   77         FDJ.FR                       84h 53' 46''  + 00h 57' 06''
30    ANDREAS KLÖDEN                      46         RADIOSHACK LEOPARD           84h 59' 23''  + 01h 02' 43''
31    SYLVAIN CHAVANEL                    152        OMEGA PHARMA-QUICK STEP      85h 00' 21''  + 01h 03' 41''
32    CYRIL GAUTIER                       54         TEAM EUROPCAR                85h 09' 22''  + 01h 12' 42''
33    DANIEL MARTIN                       175        GARMIN - SHARP               85h 09' 48''  + 01h 13' 08''
34    HUBERT DUPONT                       85         AG2R LA MONDIALE             85h 11' 39''  + 01h 14' 59''
35    STEVE MORABITO                      36         BMC RACING TEAM              85h 17' 19''  + 01h 20' 39''
36    HAIMAR ZUBELDIA AGIRRE              49         RADIOSHACK LEOPARD           85h 21' 02''  + 01h 24' 22''
37    CHRISTOPHE RIBLON                   89         AG2R LA MONDIALE             85h 24' 37''  + 01h 27' 57''
38    BART DE CLERCQ                      23         LOTTO-BELISOL                85h 24' 46''  + 01h 28' 06''
39    CADEL EVANS                         31         BMC RACING TEAM              85h 26' 54''  + 01h 30' 14''
40    NICOLAS ROCHE                       97         TEAM SAXO-TINKOFF            85h 30' 57''  + 01h 34' 17''
41    TOM DUMOULIN                        194        TEAM ARGOS-SHIMANO           85h 31' 10''  + 01h 34' 30''
