Tour de France 1929

Number of stages 22
Distance (km) 5 286
Average speed 28.319

All about year 1929

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider             Rider No.          Team             Times            Gap        B P
1    MAURICE DE WAELE              31         AS                   186h 39' 15''
2    GIUSEPPE PANCERA              6          AS                   187h 23' 38''  + 00h 44' 23''
3    JEF DEMUYSERE                 5          AS                   187h 36' 25''  + 00h 57' 10''
4    SALVADOR CARDONA BALBASTRE    21         AS                   187h 37' 01''  + 00h 57' 46''
5    NICOLAS FRANTZ                1          AS                   187h 37' 15''  + 00h 58' 00''
6    LOUIS DE LANNOY               19         AS                   187h 45' 24''  + 01h 06' 09''
7    ANTONIN MAGNE                 2          AS                   187h 47' 15''  + 01h 08' 00''
8    JULIEN VERVAECKE              37         AS                   188h 40' 52''  + 02h 01' 37''
9    PIERRE MAGNE                  26         AS                   188h 42' 15''  + 02h 03' 00''
10   GASTON REBRY                  43         AS                   188h 57' 04''  + 02h 17' 49''
11   ANDRÉ LEDUCQ                  13         AS                   189h 04' 06''  + 02h 24' 51''
12   FRANS BONDUEL                 34         AS                   189h 31' 50''  + 02h 52' 35''
13   DÉSIRÉ LOUESSE                33         AS                   189h 42' 15''  + 03h 03' 00''
14   BERNARD VAN RYSSELBERGHE      40         AS                   189h 45' 38''  + 03h 06' 23''
15   RENÉ FAURE                    203        TOURISTES-ROUTIERS   190h 12' 44''  + 03h 33' 29''
16   MARCEL BIDOT                  7          AS                   190h 20' 04''  + 03h 40' 49''
17   ARMAND VAN BRUAENE            32         AS                   190h 51' 09''  + 04h 11' 54''
18   LUC GOVAERTS                  27         AS                   190h 53' 39''  + 04h 14' 24''
19   FRANCIS BOUILLET              41         AS                   191h 47' 06''  + 05h 07' 51''
20   ERNEST NEUHARD                20         AS                   192h 24' 27''  + 05h 45' 12''
21   OMER TAVERNE                  173        TOURISTES-ROUTIERS   192h 28' 54''  + 05h 49' 39''
22   LÉON CHENE                    38         AS                   192h 39' 22''  + 06h 00' 07''
23   JULES MERVIEL                 28         AS                   192h 44' 17''  + 06h 05' 02''
24   MARIO POMPOSI                 12         AS                   192h 53' 24''  + 06h 14' 09''
25   GEORGES LALOUP                189        TOURISTES-ROUTIERS   193h 10' 00''  + 06h 30' 45''
26   SETTIMO INNOCENTI             18         AS                   193h 23' 08''  + 06h 43' 53''
27   JULIEN PERRAIN                15         AS                   195h 11' 00''  + 08h 31' 45''
28   CHARLES PELISSIER             49         AS                   195h 33' 18''  + 08h 54' 03''
29   RENÉ BERTON                   216        TOURISTES-ROUTIERS   195h 35' 05''  + 08h 55' 50''
30   ROGER GREGOIRE                47         AS                   196h 29' 30''  + 09h 50' 15''
31   HECTOR DENIS                  145        TOURISTES-ROUTIERS   197h 04' 40''  + 10h 25' 25''
