Tour de France 1965

Number of stages 22
Distance (km) 4 188
Average speed 35.886

All about year 1965

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider           Rider No.                 Team                    Times            Gap       B P
1     FELICE GIMONDI            123        SALVARANI                          116h 42' 06''
2     RAYMOND POULIDOR          27         MERCIER-BP-HUTCHINSON              116h 44' 46''  + 00h 02' 40''
3     GIANNI MOTTA              115        MOLTENI-IGNIS                      116h 51' 24''  + 00h 09' 18''
4     HENRI ANGLADE             31         PELFORTH-SAUVAGE-LEJEUNE-WOLBER    116h 54' 49''  + 00h 12' 43''
5     JEAN-CLAUDE LEBAUBE       6          FORD-FRANCE-GITANE-DUNLOP          116h 55' 02''  + 00h 12' 56''
6     JOSÉ PEREZ-FRANCES        98         FERRYS                             116h 55' 21''  + 00h 13' 15''
7     GUIDO DE ROSSO            112        MOLTENI-IGNIS                      116h 56' 54''  + 00h 14' 48''
8     FRANS BRANDS              53         FLANDRIA-ROMEO                     116h 59' 42''  + 00h 17' 36''
9     JAN JANSSEN               36         PELFORTH-SAUVAGE-LEJEUNE-WOLBER    116h 59' 58''  + 00h 17' 52''
10    FRANCISCO GABICA          103        KAS-KASKOL                         117h 01' 17''  + 00h 19' 11''
11    KARL-HEINZ KUNDE          75         WIELS-GROENE LEEUW                 117h 01' 27''  + 00h 19' 21''
12    RAYMOND PINGEON           46         PEUGEOT-BP-MICHELIN                117h 02' 38''  + 00h 20' 32''
13    VALENTIN URIONA           109        KAS-KASKOL                         117h 06' 40''  + 00h 24' 34''
14    HENRI DUEZ                43         PEUGEOT-BP-MICHELIN                117h 07' 13''  + 00h 25' 07''
15    RENZO FONTONA             118        MOLTENI-IGNIS                      117h 07' 37''  + 00h 25' 31''
16    GILBERT DESMET            72         WIELS-GROENE LEEUW                 117h 10' 10''  + 00h 28' 04''
17    ANDRÉ ZIMMERMANN          50         PEUGEOT-BP-MICHELIN                117h 11' 41''  + 00h 29' 35''
18    ANDRÉ FOUCHER             33         PELFORTH-SAUVAGE-LEJEUNE-WOLBER    117h 11' 59''  + 00h 29' 53''
19    ARNALDO PAMBIANCO         127        SALVARANI                          117h 14' 54''  + 00h 32' 48''
20    LOUIS ROSTOLLAN           10         FORD-FRANCE-GITANE-DUNLOP          117h 16' 57''  + 00h 34' 51''
21    WALTER BOUCQUET           51         FLANDRIA-ROMEO                     117h 16' 58''  + 00h 34' 52''
22    ANGELINO SOLER            48         PEUGEOT-BP-MICHELIN                117h 18' 42''  + 00h 36' 36''
23    JULIO JIMENEZ             106        KAS-KASKOL                         117h 18' 51''  + 00h 36' 45''
24    MICHAËL WRIGHT            80         WIELS-GROENE LEEUW                 117h 22' 17''  + 00h 40' 11''
25    HANS JUNKERMANN           17         MARGNAT-PALOMA-INURI-DUNLOP        117h 23' 28''  + 00h 41' 22''
26    SÉBASTIEN ELORZA          102        KAS-KASKOL                         117h 24' 06''  + 00h 42' 00''
27    RIK WOUTERS               90         TELEVIZIER                         117h 24' 17''  + 00h 42' 11''
28    FERNANDO MANZANEQUE       91         FERRYS                             117h 24' 50''  + 00h 42' 44''
29    GINES GARCIA              15         MARGNAT-PALOMA-INURI-DUNLOP        117h 25' 23''  + 00h 43' 17''
30    LUIS OTANO                97         FERRYS                             117h 29' 13''  + 00h 47' 07''
31    RIK VAN LOOY              70         SOLO-SUPERIA                       117h 29' 35''  + 00h 47' 29''
32    HUUB HARINGS              84         TELEVIZIER                         117h 29' 36''  + 00h 47' 30''
33    JEAN-LOUIS BODIN          22         MERCIER-BP-HUTCHINSON              117h 29' 55''  + 00h 47' 49''
34    JOSÉ-ANTONIO MOMENE       107        KAS-KASKOL                         117h 30' 07''  + 00h 48' 01''
35    MICHEL VAN AERDE          68         SOLO-SUPERIA                       117h 31' 22''  + 00h 49' 16''
36    GIUSEPPE FEZZARDI         114        MOLTENI-IGNIS                      117h 32' 11''  + 00h 50' 05''
37    JOAQUIM GALERA            104        KAS-KASKOL                         117h 33' 01''  + 00h 50' 55''
