Tour de France 1969

Number of stages 22
Distance (km) 4 117
Average speed 35.409

All about year 1969

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank             Rider            Rider No.                 Team                     Times            Gap       B P
1     EDDY MERCKX                 51         FAEMA                               115h 28' 23''
1     EDDY MERCKX                 51         FAEMA                               116h 16' 02''
2     RAYMOND PINGEON             29         PEUGEOT-BP-MICHELIN                 116h 33' 56''  + 00h 17' 54''
2     RAYMOND PINGEON             29         PEUGEOT-BP-MICHELIN                 115h 45' 03''  + 00h 16' 40''
3     RAYMOND POULIDOR            78         MERCIER-BP-HUTCHINSON               116h 38' 15''  + 00h 22' 13''
3     RAYMOND POULIDOR            78         MERCIER-BP-HUTCHINSON               115h 49' 43''  + 00h 21' 20''
4     FELICE GIMONDI              125        SALVARANI                           116h 45' 26''  + 00h 29' 24''
5     ANDRES GANDARIAS            33         KAS-KASKOL                          116h 49' 06''  + 00h 33' 04''
6     MARINUS ''RINI'' WAGTMANS   100        WILLEM II-GAZELLE                   116h 49' 59''  + 00h 33' 57''
7     FRANCO VIANELLI             120        MOLTENI                             116h 58' 42''  + 00h 42' 40''
8     JOAQUIM AGOSTINHO           81         FRIMATIC-DE GRIBALDY-VIVA-WOLBER    117h 07' 26''  + 00h 51' 24''
9     DÉSIRÉ LETORT               27         PEUGEOT-BP-MICHELIN                 117h 07' 43''  + 00h 51' 41''
10    JAN JANSSEN                 1          BIC                                 117h 08' 58''  + 00h 52' 56''
11    JOAQUIM GALERA              103        FAGOR                               117h 10' 49''  + 00h 54' 47''
12    LUCIEN VAN IMPE             68         SONOLOR-LEJEUNE-WOLBER              117h 12' 19''  + 00h 56' 17''
13    JEAN-CLAUDE THEILLIERE      67         SONOLOR-LEJEUNE-WOLBER              117h 21' 00''  + 01h 04' 58''
14    WLADIMIRO PANIZZA           127        SALVARANI                           117h 21' 18''  + 01h 05' 16''
15    EDDY SCHUTZ                 118        MOLTENI                             117h 23' 00''  + 01h 06' 58''
16    JEAN DUMONT                 25         PEUGEOT-BP-MICHELIN                 117h 23' 27''  + 01h 07' 25''
17    PAUL GUTTY                  83         FRIMATIC-DE GRIBALDY-VIVA-WOLBER    117h 24' 07''  + 01h 08' 05''
18    HERMAN VANSPRINGEL          20         MANN-GRUNDIG                        117h 26' 13''  + 01h 10' 11''
19    EDUARDO CASTELLO            31         KAS-KASKOL                          117h 30' 06''  + 01h 14' 04''
20    MICHELE DANCELLI            114        MOLTENI                             117h 33' 38''  + 01h 17' 36''
21    FRANCISCO GALDOS            32         KAS-KASKOL                          117h 33' 46''  + 01h 17' 44''
22    JOSÉ LOPEZ CANO             105        FAGOR                               117h 34' 22''  + 01h 18' 20''
23    MARTIN VAN DEN BOSSCHE      59         FAEMA                               117h 35' 10''  + 01h 19' 08''
24    FRANCISCO GABICA            102        FAGOR                               117h 41' 21''  + 01h 25' 19''
25    BERNARD LABOURDETTE         76         MERCIER-BP-HUTCHINSON               117h 43' 05''  + 01h 27' 03''
26    ANDRÉ ZIMMERMANN            70         SONOLOR-LEJEUNE-WOLBER              117h 46' 58''  + 01h 30' 56''
27    WILFRIED DAVID              42         FLANDRIA-DE CLERCK-KRUGER           117h 49' 33''  + 01h 33' 31''
28    JOSEPH SPRUYT               55         FAEMA                               117h 55' 10''  + 01h 39' 08''
29    VICTOR VAN SCHIL            60         FAEMA                               118h 02' 10''  + 01h 46' 08''
30    LUCIEN AIMAR                2          BIC                                 118h 05' 59''  + 01h 49' 57''
31    ANDRÉ BAYSSIERE             21         PEUGEOT-BP-MICHELIN                 118h 11' 00''  + 01h 54' 58''
32    DEREK HARRISSON             84         FRIMATIC-DE GRIBALDY-VIVA-WOLBER    118h 11' 26''  + 01h 55' 24''
33    ANDRÉ POPPE                 17         MANN-GRUNDIG                        118h 13' 01''  + 01h 56' 59''
34    STÉPHANE ABRAHAMIAN         61         SONOLOR-LEJEUNE-WOLBER              118h 14' 38''  + 01h 58' 36''
35    MAURICE IZIER               85         FRIMATIC-DE GRIBALDY-VIVA-WOLBER    118h 17' 58''  + 02h 01' 56''
36    DINO ZANDEGU                130        SALVARANI                           118h 20' 10''  + 02h 04' 08''
37    RAYMOND DELISLE             24         PEUGEOT-BP-MICHELIN                 118h 21' 39''  + 02h 05' 37''
38    DOMINGO PERURENA            109        FAGOR                               118h 27' 55''  + 02h 11' 53''
39    FRANCO BALMAMION            122        SALVARANI                           118h 28' 07''  + 02h 12' 05''
40    JAN JANSSEN                 75         MERCIER-BP-HUTCHINSON               118h 28' 31''  + 02h 12' 29''
41    SANTIAGO LAZCANO            38         KAS-KASKOL                          118h 30' 15''  + 02h 14' 13''
42    CHRISTIAN RAYMOND           30         PEUGEOT-BP-MICHELIN                 118h 31' 18''  + 02h 15' 16''
43    GIANCARLO FERRETTI          124        SALVARANI                           118h 37' 31''  + 02h 21' 29''
44    ROGER SWERTS                57         FAEMA                               118h 42' 21''  + 02h 26' 19''
45    GILBERT BELLONE             3          BIC                                 118h 42' 24''  + 02h 26' 22''
46    JEAN-CLAUDE LEBAUBE         87         FRIMATIC-DE GRIBALDY-VIVA-WOLBER    118h 46' 11''  + 02h 30' 09''
47    MANUEL GALERA               104        FAGOR                               118h 47' 24''  + 02h 31' 22''
48    JEAN VIDAMENT               80         MERCIER-BP-HUTCHINSON               118h 49' 19''  + 02h 33' 17''
49    EVERT DOLMAN                91         WILLEM II-GAZELLE                   118h 49' 39''  + 02h 33' 37''
50    BERNARD GUYOT               65         SONOLOR-LEJEUNE-WOLBER              118h 56' 33''  + 02h 40' 31''
51    ROBERTO POGGIALI            129        SALVARANI                           118h 57' 19''  + 02h 41' 17''
52    WILFRIED PEFFGEN            128        SALVARANI                           118h 58' 46''  + 02h 42' 44''
53    ROLAND BERLAND              4          BIC                                 118h 59' 49''  + 02h 43' 47''
