Tour de France 1975

Number of stages 22
Distance (km) 4 000
Average speed 34.906

All about year 1975

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank           Rider           Rider No.                Team                    Times            Gap       B P
1     BERNARD THEVENET         51         PEUGEOT-BP                        114h 35' 31''
2     EDDY MERCKX              1          MOLTENI                           114h 38' 18''  + 00h 02' 47''
3     LUCIEN VAN IMPE          71         GITANE                            114h 40' 32''  + 00h 05' 01''
4     JUAN ZURANO              30         KAS                               114h 42' 03''  + 00h 06' 32''
5     VICENTE LOPEZ-CARRIL     25         KAS                               114h 55' 00''  + 00h 19' 29''
6     FELICE GIMONDI           61         BIANCHI                           114h 48' 36''  + 00h 13' 05''
7     FRANCESCO MOSER          81         FILOTEX                           114h 59' 44''  + 00h 24' 13''
8     JOSEPH FUCHS             85         FILOTEX                           115h 01' 22''  + 00h 25' 51''
9     JAN JANSSEN              6          MOLTENI                           115h 07' 32''  + 00h 32' 01''
10    PEDRO TORRES             48         SUPER SER                         115h 11' 07''  + 00h 35' 36''
11    HENNIE KUIPER            121        FRISOL                            115h 16' 16''  + 00h 40' 45''
12    ANDRÉ ROMERO             131        JOBO-SABLIERE-WOLBER              115h 20' 15''  + 00h 44' 44''
13    GEORGES TALBOURDET       18         GAN-MERCIER                       115h 20' 20''  + 00h 44' 49''
14    MARIANO MARTINEZ         77         GITANE                            115h 21' 02''  + 00h 45' 31''
15    JOAQUIM AGOSTINHO        101        SPORTING-SOTTO-MAYOR-LEJEUNE      115h 26' 17''  + 00h 50' 46''
16    RAYMOND DELISLE          56         PEUGEOT-BP                        115h 30' 52''  + 00h 55' 21''
17    JOS DE SCHOENMACKER      4          MOLTENI                           115h 30' 55''  + 00h 55' 24''
18    FEDOR DEN HERTOG         124        FRISOL                            115h 32' 16''  + 00h 56' 45''
19    RAYMOND POULIDOR         11         GAN-MERCIER                       115h 35' 28''  + 00h 59' 57''
20    FERDINAND JULIEN         107        SPORTING-SOTTO-MAYOR-LEJEUNE      115h 40' 58''  + 01h 05' 27''
21    YVES HEZARD              13         GAN-MERCIER                       115h 41' 25''  + 01h 05' 54''
22    ROBERTO POGGIALI         87         FILOTEX                           115h 41' 33''  + 01h 06' 02''
23    MICHEL POLLENTIER        91         FLANDRIA-CARPENTER-CONFORTLUXE    115h 50' 54''  + 01h 15' 23''
24    TONY HOUBRECHTS          66         BIANCHI                           115h 54' 25''  + 01h 18' 54''
25    JOSÉ-LUIS VIEJO          50         SUPER SER                         115h 58' 00''  + 01h 22' 29''
26    LUIS BALAGUE             43         SUPER SER                         115h 58' 58''  + 01h 23' 27''
27    MARTIN RODRIGUEZ         68         BIANCHI                           115h 59' 27''  + 01h 23' 56''
28    RÉGIS OVION              58         PEUGEOT-BP                        116h 04' 54''  + 01h 29' 23''
29    CARLOS MELERO            27         KAS                               116h 05' 41''  + 01h 30' 10''
30    RAYMOND MARTIN           76         GITANE                            116h 09' 37''  + 01h 34' 06''
31    HERMAN VANSPRINGEL       99         FLANDRIA-CARPENTER-CONFORTLUXE    116h 13' 23''  + 01h 37' 52''
32    ALBERT VAN VLIERBERGHE   118        MIKO-DE GRIBALDY                  116h 16' 25''  + 01h 40' 54''
33    FABRIZIO FABBRI          64         BIANCHI                           116h 16' 53''  + 01h 41' 22''
34    JOSÉ PESARRODONA         29         KAS                               116h 17' 37''  + 01h 42' 06''
35    SIMONE FRACCARO          65         BIANCHI                           116h 17' 40''  + 01h 42' 09''
36    JOSÉ CASAS GARCIA        44         SUPER SER                         116h 18' 53''  + 01h 43' 22''
37    RONALD DE WITTE          96         FLANDRIA-CARPENTER-CONFORTLUXE    116h 21' 42''  + 01h 46' 11''
38    JOËL MILLARD             139        JOBO-SABLIERE-WOLBER              116h 22' 32''  + 01h 47' 01''
39    RENATO MARCHETTI         86         FILOTEX                           116h 31' 03''  + 01h 55' 32''
40    BERNARD BOURREAU         53         PEUGEOT-BP                        116h 32' 50''  + 01h 57' 19''
41    HUBERT MATHIS            116        MIKO-DE GRIBALDY                  116h 34' 23''  + 01h 58' 52''
42    MARC DEMEYER             95         FLANDRIA-CARPENTER-CONFORTLUXE    116h 36' 10''  + 02h 00' 39''
43    SIGFRIDO FONTANELLI      84         FILOTEX                           116h 38' 44''  + 02h 03' 13''
44    SYLVAIN VASSEUR          49         SUPER SER                         116h 39' 57''  + 02h 04' 26''
45    WILLY TEIRLINCK          80         GITANE                            116h 41' 08''  + 02h 05' 37''
46    GIACINTO SANTAMBROGIO    69         BIANCHI                           116h 41' 16''  + 02h 05' 45''
47    OLE RITTER               88         FILOTEX                           116h 41' 21''  + 02h 05' 50''
48    GIOVANNI CAVALCANTI      63         BIANCHI                           116h 42' 32''  + 02h 07' 01''
49    FRANCIS CAMPANER         103        SPORTING-SOTTO-MAYOR-LEJEUNE      116h 43' 13''  + 02h 07' 42''
50    GERBEN KARSTENS          73         GITANE                            116h 43' 18''  + 02h 07' 47''
51    WALTER GODEFROOT         97         FLANDRIA-CARPENTER-CONFORTLUXE    116h 49' 56''  + 02h 14' 25''
52    CHARLY ROUXEL            59         PEUGEOT-BP                        116h 50' 57''  + 02h 15' 26''
53    ROBERT MINTKIEWICZ       78         GITANE                            116h 51' 27''  + 02h 15' 56''
54    MARCO SIMONETTI          89         FILOTEX                           116h 51' 46''  + 02h 16' 15''
55    GUY LELEU                75         GITANE                            116h 53' 46''  + 02h 18' 15''
56    FRANS MINTJENS           8          MOLTENI                           116h 54' 32''  + 02h 19' 01''
57    LUDO DELCROIX            3          MOLTENI                           116h 54' 33''  + 02h 19' 02''
58    JOSÉ GRANDE              24         KAS                               116h 55' 56''  + 02h 20' 25''
59    JOSEPH HUYSMANS          5          MOLTENI                           116h 55' 56''  + 02h 20' 25''
60    KAREL ROTTIERS           9          MOLTENI                           116h 57' 07''  + 02h 21' 36''
61    FERNANDO FERREIRA        105        SPORTING-SOTTO-MAYOR-LEJEUNE      117h 02' 22''  + 02h 26' 51''
62    MARC LIEVENS             7          MOLTENI                           117h 02' 35''  + 02h 27' 04''
63    GERRIE KNETEMANN         15         GAN-MERCIER                       117h 04' 14''  + 02h 28' 43''
64    RICHARD PIANARO          140        JOBO-SABLIERE-WOLBER              117h 04' 32''  + 02h 29' 01''
65    JEAN-CLAUDE MISAC        16         GAN-MERCIER                       117h 05' 25''  + 02h 29' 54''
66    GÉRARD VIANEN            19         GAN-MERCIER                       117h 07' 27''  + 02h 31' 56''
67    JOSÉ DE CAUWER           123        FRISOL                            117h 10' 48''  + 02h 35' 17''
68    BARRY HOBAN              14         GAN-MERCIER                       117h 16' 48''  + 02h 41' 17''
69    ANDRÉ DOYEN              113        MIKO-DE GRIBALDY                  117h 19' 40''  + 02h 44' 09''
70    RENÉ DILLEN              72         GITANE                            117h 20' 21''  + 02h 44' 50''
70    ROGER LEGEAY             137        JOBO-SABLIERE-WOLBER              117h 20' 21''  + 02h 44' 50''
72    MAURICE LE GUILLOUX      74         GITANE                            117h 22' 19''  + 02h 46' 48''
73    JOËL HAUVIEUX            136        JOBO-SABLIERE-WOLBER              117h 22' 57''  + 02h 47' 26''
74    CLAUDE MAGNI             138        JOBO-SABLIERE-WOLBER              117h 23' 21''  + 02h 47' 50''
76    SERGIO PARSANI           67         BIANCHI                           117h 27' 57''  + 02h 52' 26''
77    RÉGIS DELEPINE           94         FLANDRIA-CARPENTER-CONFORTLUXE    117h 30' 36''  + 02h 55' 05''
78    PATRICK BEON             52         PEUGEOT-BP                        117h 31' 04''  + 02h 55' 33''
79    RIK VAN LINDEN           70         BIANCHI                           117h 32' 27''  + 02h 56' 56''
81    LUIGI CASTELLETTI        62         BIANCHI                           117h 36' 30''  + 03h 00' 59''
82    HENK PRINSEN             130        FRISOL                            117h 41' 18''  + 03h 05' 47''
83    JOSÉ AMARO               102        SPORTING-SOTTO-MAYOR-LEJEUNE      117h 46' 44''  + 03h 11' 13''
84    GÉRARD KAMPER            125        FRISOL                            117h 53' 30''  + 03h 17' 59''
85    DONALD JOHN ALLAN        122        FRISOL                            118h 01' 09''  + 03h 25' 38''
86    ANDRÉ BOULAS             132        JOBO-SABLIERE-WOLBER              118h 07' 52''  + 03h 32' 21''

Next rankings
