Tour de France 1976

Number of stages 22
Distance (km) 4 017
Average speed 34.518

All about year 1976

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider            Rider No.              Team                  Times            Gap       B P
1     LUCIEN VAN IMPE            11         GITANE-CAMPAGNOLO             114h 23' 35''
1     LUCIEN VAN IMPE            11         GITANE-CAMPAGNOLO             116h 22' 23''
2     JOOP ZOETEMELK             30         GAN-MERCIER-HUTCHINSON        116h 26' 37''  + 00h 04' 14''
2     JOOP ZOETEMELK             30         GAN-MERCIER-HUTCHINSON        114h 27' 49''  + 00h 04' 14''
3     RAYMOND POULIDOR           21         GAN-MERCIER-HUTCHINSON        114h 35' 43''  + 00h 12' 08''
3     RAYMOND POULIDOR           21         GAN-MERCIER-HUTCHINSON        116h 34' 31''  + 00h 12' 08''
4     RAYMOND DELISLE            5          PEUGEOT-ESSO-MICHELIN         116h 34' 40''  + 00h 12' 17''
5     WALTER RICCOMI             128        SCIC-FIAT-COLNAGO             116h 35' 02''  + 00h 12' 39''
6     FRANCISCO GALDOS           31         KAS-CAMPAGNOLO                116h 37' 13''  + 00h 14' 50''
7     MICHEL POLLENTIER          75         FLANDRIA-VELDA-VLEESBDRIJF    116h 37' 22''  + 00h 14' 59''
8     FREDDY MAERTENS            71         FLANDRIA-VELDA-VLEESBDRIJF    116h 38' 29''  + 00h 16' 06''
9     FAUSTO BERTOGLIO           91         JOLLYCERAMICA                 116h 38' 59''  + 00h 16' 36''
10    VICENTE LOPEZ-CARRIL       33         KAS-CAMPAGNOLO                116h 41' 51''  + 00h 19' 28''
11    JOSÉ PESARRODONA           40         KAS-CAMPAGNOLO                116h 43' 37''  + 00h 21' 14''
12    JOSÉ MARTINS FREITAS       35         KAS-CAMPAGNOLO                116h 44' 08''  + 00h 21' 45''
13    WLADIMIRO PANIZZA          126        SCIC-FIAT-COLNAGO             116h 44' 31''  + 00h 22' 08''
14    LUIS OCANA                 41         SUPER SER                     116h 47' 31''  + 00h 25' 08''
