Tour de France 1980

Number of stages 22
Distance (km) 3 842
Average speed 35.144

All about year 1980

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                  Rider                  Rider No.                Team                   Times            Gap       B P
1    JOOP ZOETEMELK                          11         TI-RALEIGH-CREDA                 109h 19' 14''
2    HENNIE KUIPER                           31         PEUGEOT-ESSO-MICHELIN            109h 26' 09''  + 00h 06' 55''
3    RAYMOND MARTIN                          78         MIKO-MERCIER-VIVAGEL             109h 27' 10''  + 00h 07' 56''
4    JOHAN DE MUYNCK                         55         SPLENDOR-ADMIRAL-TV EKSPRES      109h 31' 38''  + 00h 12' 24''
5    JOAQUIM AGOSTINHO                       21         PUCH-SEM                         109h 34' 51''  + 00h 15' 37''
6    CHRISTIAN SEZNEC                        80         MIKO-MERCIER-VIVAGEL             109h 35' 30''  + 00h 16' 16''
7    SVEN-AKE NILSSON                        71         MIKO-MERCIER-VIVAGEL             109h 35' 47''  + 00h 16' 33''
8    LUDO PEETERS                            96         IJSBOERKE-WARNCKE-KOGA MIYATA    109h 39' 59''  + 00h 20' 45''
9    PIERRE BAZZO                            83         LA REDOUTE-MOTOBECANE            109h 40' 17''  + 00h 21' 03''
10   HENK LUBBERDING                         13         TI-RALEIGH-CREDA                 109h 40' 24''  + 00h 21' 10''
11   ROBERT ALBAN                            82         LA REDOUTE-MOTOBECANE            109h 41' 55''  + 00h 22' 41''
12   JOHAN VAN DER VELDE                     18         TI-RALEIGH-CREDA                 109h 44' 42''  + 00h 25' 28''
13   CLAUDE CRIQUIELION                      54         SPLENDOR-ADMIRAL-TV EKSPRES      109h 46' 57''  + 00h 27' 43''
14   JOSTEIN WILMANN                         30         PUCH-SEM                         109h 47' 18''  + 00h 28' 04''
15   RÉGIS OVION                             27         PUCH-SEM                         109h 49' 02''  + 00h 29' 48''
16   LUCIEN VAN IMPE                         61         MARC-IWC-VRD                     109h 52' 09''  + 00h 32' 55''
17   BERNARD THEVENET                        111        TEKA                             109h 52' 13''  + 00h 32' 59''
18   LUDO LOOS                               67         MARC-IWC-VRD                     109h 55' 50''  + 00h 36' 36''
19   JO MAAS                                 41         DAF TRUCKS-LEJEUNE               109h 55' 58''  + 00h 36' 44''
20   VICENTE BELDA                           123        KELME                            110h 01' 56''  + 00h 42' 42''
21   PATRICK BUSOLINI                        22         PUCH-SEM                         110h 04' 49''  + 00h 45' 35''
22   GERRY VERLINDEN                         91         IJSBOERKE-WARNCKE-KOGA MIYATA    110h 11' 31''  + 00h 52' 17''
23   FERDINAND JULIEN                        105        BOSTON-MAVIC-AMIS DU TOUR        110h 11' 51''  + 00h 52' 37''
24   ISMAËL LEJARETTA                        116        TEKA                             110h 13' 19''  + 00h 54' 05''
25   ALBERTO FERNANDEZ DE LA PUEBLA RAMOS    115        TEKA                             110h 14' 31''  + 00h 55' 17''
26   EDDY SCHEPERS                           48         DAF TRUCKS-LEJEUNE               110h 14' 46''  + 00h 55' 32''
27   DANIEL PLUMMER                          59         SPLENDOR-ADMIRAL-TV EKSPRES      110h 18' 00''  + 00h 58' 46''
28   PASCAL SIMON                            40         PEUGEOT-ESSO-MICHELIN            110h 18' 05''  + 00h 58' 51''
29   SEAN KELLY                              57         SPLENDOR-ADMIRAL-TV EKSPRES      110h 18' 08''  + 00h 58' 54''
30   RENÉ MARTENS                            45         DAF TRUCKS-LEJEUNE               110h 18' 20''  + 00h 59' 06''
31   BERNARD VALLET                          87         LA REDOUTE-MOTOBECANE            110h 18' 25''  + 00h 59' 11''
33   JEAN-LUC VANDENBROUCKE                  89         LA REDOUTE-MOTOBECANE            110h 20' 44''  + 01h 01' 30''
