Tour de France 1982

Number of stages 21
Distance (km) 3 507
Average speed 38.059

All about year 1982

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                  Rider                  Rider No.                Team                   Times           Gap       B P
1    BERNARD HINAULT                         1          RENAULT-GITANE                   92h 08' 46''
2    JOOP ZOETEMELK                          101        COOP-MERCIER-MAVIC               92h 15' 07''  + 00h 06' 21''
3    JOHAN VAN DER VELDE                     21         TI-RALEIGH-CAMPAGNOLO            92h 17' 45''  + 00h 08' 59''
4    PETER WINNEN                            31         CAPRI SONNE-CAMPAGNOLO-MERCKX    92h 18' 10''  + 00h 09' 24''
5    PHIL ANDERSON                           42         PEUGEOT-SHELL-MICHELIN           92h 21' 02''  + 00h 12' 16''
6    BEAT BREU                               151        CILO-AUFINA                      92h 22' 07''  + 00h 13' 21''
7    DANIEL WILLEMS                          81         SUNAIR-COLNAGO-CAMPAGNOLO        92h 24' 19''  + 00h 15' 33''
8    RAYMOND MARTIN                          108        COOP-MERCIER-MAVIC               92h 24' 21''  + 00h 15' 35''
9    HENNIE KUIPER                           91         DAF TRUCKS-TEVE BLAD-ROSSIN      92h 25' 47''  + 00h 17' 01''
10   ALBERTO FERNANDEZ DE LA PUEBLA RAMOS    116        TEKA                             92h 26' 05''  + 00h 17' 19''
11   ROBERT ALBAN                            11         LA REDOUTE-MOTOBECANE            92h 26' 07''  + 00h 17' 21''
12   BERNARD VALLET                          18         LA REDOUTE-MOTOBECANE            92h 28' 38''  + 00h 19' 52''
13   JEAN-RENÉ BERNAUDEAU                    41         PEUGEOT-SHELL-MICHELIN           92h 28' 48''  + 00h 20' 02''
14   SVEN-AKE NILSSON                        121        WOLBER-SPIDEL                    92h 33' 57''  + 00h 25' 11''
15   SEAN KELLY                              71         SEM-FRANCE LOIRE-CAMPAGNOLO      92h 36' 03''  + 00h 27' 17''
16   CHARLY BERARD                           3          RENAULT-GITANE                   92h 40' 21''  + 00h 31' 35''
17   KIM ANDERSEN                            102        COOP-MERCIER-MAVIC               92h 40' 43''  + 00h 31' 57''
18   JACQUES MICHAUD                         110        COOP-MERCIER-MAVIC               92h 41' 07''  + 00h 32' 21''
19   THÉO DE ROOY                            34         CAPRI SONNE-CAMPAGNOLO-MERCKX    92h 41' 23''  + 00h 32' 37''
20   PASCAL SIMON                            50         PEUGEOT-SHELL-MICHELIN           92h 43' 08''  + 00h 34' 22''
21   STEFAN MUTTER                           131        PUCH-EOROTEX-CAMPAGNOLO          92h 43' 48''  + 00h 35' 02''
22   GUY NULENS                              96         DAF TRUCKS-TEVE BLAD-ROSSIN      92h 44' 34''  + 00h 35' 48''
23   JONATHAN BOYER                          73         SEM-FRANCE LOIRE-CAMPAGNOLO      92h 52' 55''  + 00h 44' 09''
24   RENÉ MARTENS                            95         DAF TRUCKS-TEVE BLAD-ROSSIN      92h 53' 14''  + 00h 44' 28''
25   LUCIEN DIDIER                           5          RENAULT-GITANE                   92h 53' 23''  + 00h 44' 37''
26   JEAN-FRANÇOIS RODRIGUEZ                 9          RENAULT-GITANE                   92h 54' 17''  + 00h 45' 31''
27   MAURICE LE GUILLOUX                     6          RENAULT-GITANE                   92h 55' 44''  + 00h 46' 58''
28   JOHAN DE MUYNCK                         13         LA REDOUTE-MOTOBECANE            92h 57' 37''  + 00h 48' 51''
29   CHRISTIAN SEZNEC                        128        WOLBER-SPIDEL                    92h 58' 14''  + 00h 49' 28''
30   MARC MADIOT                             7          RENAULT-GITANE                   92h 58' 14''  + 00h 49' 28''
31   FONS DE WOLF                            61         VERMEER THIJS-GIOS               92h 59' 07''  + 00h 50' 21''
32   GÉRARD VELDSCHOLTEN                     29         TI-RALEIGH-CAMPAGNOLO            93h 00' 16''  + 00h 51' 30''
33   MARIO BECCIA                            161        HOONVED-BOTTECCHIA               93h 01' 21''  + 00h 52' 35''
34   LUDO PEETERS                            26         TI-RALEIGH-CAMPAGNOLO            93h 01' 45''  + 00h 52' 59''
35   ALAIN VIGNERON                          10         RENAULT-GITANE                   93h 02' 34''  + 00h 53' 48''
36   DOMINIQUE ARNAUD                        122        WOLBER-SPIDEL                    93h 02' 58''  + 00h 54' 12''
37   MARINO LEJARETTA                        111        TEKA                             93h 03' 15''  + 00h 54' 29''
38   PATRICK PERRET                          49         PEUGEOT-SHELL-MICHELIN           93h 03' 51''  + 00h 55' 05''
39   PIERRE BAZZO                            12         LA REDOUTE-MOTOBECANE            93h 04' 16''  + 00h 55' 30''
40   ADRI VAN HOUWELINGEN                    68         VERMEER THIJS-GIOS               93h 05' 29''  + 00h 56' 43''
41   PATRICK BONNET                          4          RENAULT-GITANE                   93h 06' 02''  + 00h 57' 16''
42   DIDIER VANOVERSCHEDE                    20         LA REDOUTE-MOTOBECANE            93h 08' 46''  + 01h 00' 00''
43   MARCEL TINAZZI                          80         SEM-FRANCE LOIRE-CAMPAGNOLO      93h 09' 19''  + 01h 00' 33''
44   RENÉ BITTINGER                          72         SEM-FRANCE LOIRE-CAMPAGNOLO      93h 09' 39''  + 01h 00' 53''
45   RÉGIS CLERE                             104        COOP-MERCIER-MAVIC               93h 09' 41''  + 01h 00' 55''
46   HENK LUBBERDING                         25         TI-RALEIGH-CAMPAGNOLO            93h 11' 15''  + 01h 02' 29''
47   GERRIE KNETEMANN                        24         TI-RALEIGH-CAMPAGNOLO            93h 12' 27''  + 01h 03' 41''
48   MICHEL LAURENT                          47         PEUGEOT-SHELL-MICHELIN           93h 13' 44''  + 01h 04' 58''
49   JEAN-FRANÇOIS CHAURIN                   75         SEM-FRANCE LOIRE-CAMPAGNOLO      93h 14' 43''  + 01h 05' 57''
50   PASCAL POISSON                          8          RENAULT-GITANE                   93h 17' 10''  + 01h 08' 24''
51   PIERRE-HENRI MENTHEOUR                  109        COOP-MERCIER-MAVIC               93h 19' 33''  + 01h 10' 47''
52   LÉO VAN VLIET                           28         TI-RALEIGH-CAMPAGNOLO            93h 21' 04''  + 01h 12' 18''
53   AD WIJNANDS                             30         TI-RALEIGH-CAMPAGNOLO            93h 22' 08''  + 01h 13' 22''
54   JEAN-PHILIPPE VANDENBRANDE              59         SPLENDOR- WICKES-BOUWMARKT       93h 23' 42''  + 01h 14' 56''
55   PIERRE-RAYMOND VILLEMIANE               129        WOLBER-SPIDEL                    93h 24' 42''  + 01h 15' 56''
56   HUBERT LINARD                           48         PEUGEOT-SHELL-MICHELIN           93h 25' 50''  + 01h 17' 04''
57   ISMAËL LEJARETTA                        117        TEKA                             93h 29' 07''  + 01h 20' 21''
58   LUCIANO LORO                            147        INOXPRAN-PENTOLE-POSATE          93h 31' 35''  + 01h 22' 49''
59   PIERRE LE BIGAULT                       106        COOP-MERCIER-MAVIC               93h 31' 46''  + 01h 23' 00''
60   GILBERT DUCLOS-LASSALLE                 46         PEUGEOT-SHELL-MICHELIN           93h 31' 50''  + 01h 23' 04''
61   LUDO DE KEULENAER                       23         TI-RALEIGH-CAMPAGNOLO            93h 33' 41''  + 01h 24' 55''
62   MARC DURANT                             124        WOLBER-SPIDEL                    93h 36' 09''  + 01h 27' 23''
