Tour de France 1993

Number of stages 20
Distance (km) 3 714
Average speed 38.709

All about year 1993

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank            Rider             Rider No.            Team                Times            Gap        B P
1    MIGUEL INDURAIN              1          BANESTO                   95h 57' 09''
2    TONY ROMINGER                131        CLAS-CAJASTUR             96h 02' 08''   + 00h 04' 59''
3    ZENON JASKULA                84         GB-MG-MAGLIFICIO          96h 02' 57''   + 00h 05' 48''
4    ALVARO MEJIA                 37         MOTOROLA                  96h 04' 38''   + 00h 07' 29''
5    BJARNE RIIS                  168        TDF 1993 ARI              96h 13' 35''   + 00h 16' 26''
6    CLAUDIO CHIAPPUCCI           11         CARRERA JEANS-TASSONI     96h 14' 27''   + 00h 17' 18''
7    JOHAN BRUYNEEL               52         ONCE                      96h 15' 13''   + 00h 18' 04''
8    ANDREW ''ANDY'' HAMPSTEN     31         MOTOROLA                  96h 17' 23''   + 00h 20' 14''
9    PEDRO DELGADO                4          BANESTO                   96h 21' 06''   + 00h 23' 57''
10   VLADIMIR POULNIKOV           14         CARRERA JEANS-TASSONI     96h 22' 38''   + 00h 25' 29''
11   GIANNI FARESIN               64         ZG MOBILI-SIDI            96h 26' 14''   + 00h 29' 05''
12   ANTONIO MARTIN               154        AMAYA SEGUROS             96h 27' 00''   + 00h 29' 51''
13   STEPHEN ROCHE                15         CARRERA JEANS-TASSONI     96h 27' 02''   + 00h 29' 53''
14   ROBERTO CONTI                163        TDF 1993 ARI              96h 27' 14''   + 00h 30' 05''
15   JEAN-PHILIPPE DOJWA          42         FESTINA                   96h 27' 33''   + 00h 30' 24''
16   OLIVERIO RINCON              159        AMAYA SEGUROS             96h 30' 28''   + 00h 33' 19''
17   ALBERTO ELLI                 164        TDF 1993 ARI              96h 30' 38''   + 00h 33' 29''
18   JON UNZAGA                   139        CLAS-CAJASTUR             96h 35' 18''   + 00h 38' 09''
19   RICHARD VIRENQUE             49         FESTINA                   96h 35' 21''   + 00h 38' 12''
20   GIANNI BUGNO                 21         GATORADE-MEGA DRIVE       96h 37' 17''   + 00h 40' 08''
21   FRANCO VONA                  89         GB-MG-MAGLIFICIO          96h 37' 48''   + 00h 40' 39''
22   LAURENT MADOUAS              127        CASTORAMA                 96h 38' 35''   + 00h 41' 26''
23   FEDERICO ECHAVE              132        CLAS-CAJASTUR             96h 39' 34''   + 00h 42' 25''
24   ROBERT MILLAR                101        TVM-BISON                 96h 41' 29''   + 00h 44' 20''
25   UDO BÖLTS                    74         TELECOM                   96h 41' 44''   + 00h 44' 35''
26   FRANCISCO JAVIER MAULEON     136        CLAS-CAJASTUR             96h 42' 27''   + 00h 45' 18''
27   RAÚL ALCALÁ                  141        WORDPERFECT               96h 44' 49''   + 00h 47' 40''
28   THIERRY CLAVEYROLAT          94         GAN                       96h 46' 30''   + 00h 49' 21''
29   GIANCARLO PERINI             61         ZG MOBILI-SIDI            96h 49' 11''   + 00h 52' 02''
30   FERNANDO ESCARTIN            133        CLAS-CAJASTUR             96h 50' 18''   + 00h 53' 09''
