Tour de France 2008

Number of stages 21
Distance (km) 3 559
Average speed 40.492

All about year 2008

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank              Rider              Rider No.               Team                   Times           Gap       B P
1    CARLOS SASTRE                   11         TEAM CSC SAXO BANK              87h 52' 52''
2    CADEL EVANS                     1          SILENCE - LOTTO                 87h 53' 50''  + 00h 00' 58''
3    BERNHARD KOHL                   115        GEROLSTEINER                    87h 54' 05''  + 00h 01' 13''
4    DENIS MENCHOV                   131        RABOBANK                        87h 55' 02''  + 00h 02' 10''
5    CHRISTIAN VANDE VELDE           191        GARMIN CHIPOTLE                 87h 55' 57''  + 00h 03' 05''
6    FRANK SCHLECK                   17         TEAM CSC SAXO BANK              87h 57' 20''  + 00h 04' 28''
7    SAMUEL SANCHEZ                  27         EUSKALTEL - EUSKADI             87h 59' 17''  + 00h 06' 25''
8    KIM KIRCHEN                     41         TEAM COLUMBIA                   87h 59' 47''  + 00h 06' 55''
9    ALEJANDRO VALVERDE              31         CAISSE D'EPARGNE                88h 00' 04''  + 00h 07' 12''
10   TADEJ VALJAVEC                  109        AG2R-LA MONDIALE                88h 01' 57''  + 00h 09' 05''
11   VLADIMIR EFIMKIN                104        AG2R-LA MONDIALE                88h 02' 47''  + 00h 09' 55''
12   ANDY SCHLECK                    16         TEAM CSC SAXO BANK              88h 04' 24''  + 00h 11' 32''
13   ROMAN KREUZIGER                 65         LIQUIGAS                        88h 05' 51''  + 00h 12' 59''
14   SANDY CASAR                     161        FRANCAISE DES JEUX              88h 12' 15''  + 00h 19' 23''
15   AMAEL MOINARD                   187        COFIDIS CREDIT PAR TELEPHONE    88h 16' 23''  + 00h 23' 31''
16   MIKEL ASTARLOZA                 22         EUSKALTEL - EUSKADI             88h 16' 32''  + 00h 23' 40''
17   KANSTANTSIN SIUTSOU             49         TEAM COLUMBIA                   88h 17' 47''  + 00h 24' 55''
18   ALEXANDRE BOTCHAROV             83         CREDIT AGRICOLE                 88h 20' 03''  + 00h 27' 11''
19   DMITRIY FOFONOV                 85         CREDIT AGRICOLE                 88h 21' 23''  + 00h 28' 31''
20   VINCENZO NIBALI                 67         LIQUIGAS                        88h 21' 25''  + 00h 28' 33''
21   STEPHANE GOUBERT                107        AG2R-LA MONDIALE                88h 24' 42''  + 00h 31' 50''
22   LAURENS TEN DAM                 138        RABOBANK                        88h 25' 51''  + 00h 32' 59''
23   MAXIME MONFORT                  189        COFIDIS CREDIT PAR TELEPHONE    88h 28' 33''  + 00h 35' 41''
24   YAROSLAV POPOVYCH               7          SILENCE - LOTTO                 88h 29' 16''  + 00h 36' 24''
25   STEFAN SCHUMACHER               111        GEROLSTEINER                    88h 30' 12''  + 00h 37' 20''
26   SYLVESTER SZMYD                 78         LAMPRE                          88h 37' 35''  + 00h 44' 43''
27   MARZIO BRUSEGHIN                74         LAMPRE                          88h 38' 11''  + 00h 45' 19''
28   CYRIL DESSEL                    101        AG2R-LA MONDIALE                88h 39' 23''  + 00h 46' 31''
29   CHRISTIAN KNEES                 153        TEAM MILRAM                     88h 40' 35''  + 00h 47' 43''
30   DAVID ARROYO DURAN              32         CAISSE D'EPARGNE                88h 41' 15''  + 00h 48' 23''
31   MARIO AERTS                     2          SILENCE - LOTTO                 88h 41' 50''  + 00h 48' 58''
32   PIERRICK FEDRIGO                141        BOUYGUES TELECOM                88h 43' 11''  + 00h 50' 19''
33   MARKUS FOTHEN                   113        GEROLSTEINER                    88h 53' 56''  + 01h 01' 04''
34   KOOS MOERENHOUT                 135        RABOBANK                        88h 58' 30''  + 01h 05' 38''
35   GEORGE HINCAPIE                 47         TEAM COLUMBIA                   89h 01' 07''  + 01h 08' 15''
36   MATTEO CARRARA                  93         QUICK STEP                      89h 02' 17''  + 01h 09' 25''
37   JENS VOIGT                      19         TEAM CSC SAXO BANK              89h 04' 47''  + 01h 11' 55''
38   JÉRÔME PINEAU                   145        BOUYGUES TELECOM                89h 05' 50''  + 01h 12' 58''
39   EDUARDO GONZALO RAMIREZ         125        AGRITUBEL                       89h 12' 58''  + 01h 20' 06''
40   CHRISTOPHE LE MEVEL             87         CREDIT AGRICOLE                 89h 13' 16''  + 01h 20' 24''
41   THOMAS LÖVKVIST                 48         TEAM COLUMBIA                   89h 18' 19''  + 01h 25' 27''
42   DAVID MONCOUTIE                 188        COFIDIS CREDIT PAR TELEPHONE    89h 19' 14''  + 01h 26' 22''
43   ERIK ZABEL                      151        TEAM MILRAM                     89h 19' 32''  + 01h 26' 40''
44   MARCO VELO                      159        TEAM MILRAM                     89h 19' 34''  + 01h 26' 42''
45   HAIMAR ZUBELDIA AGIRRE          21         EUSKALTEL - EUSKADI             89h 19' 52''  + 01h 27' 00''
46   VOLODYMIR GUSTOV                14         TEAM CSC SAXO BANK              89h 22' 51''  + 01h 29' 59''
47   RYDER HESJEDAL                  195        GARMIN CHIPOTLE                 89h 26' 14''  + 01h 33' 22''
48   JOHN-LEE AUGUSTYN               52         BARLOWORLD                      89h 29' 13''  + 01h 36' 21''
49   PAOLO TIRALONGO                 79         LAMPRE                          89h 29' 49''  + 01h 36' 57''
50   EGOI MARTINEZ                   24         EUSKALTEL - EUSKADI             89h 29' 52''  + 01h 37' 00''
51   DAVID LOPEZ GARCIA              36         CAISSE D'EPARGNE                89h 32' 29''  + 01h 39' 37''
52   AMETS TXURRUKA ANSOLA           28         EUSKALTEL - EUSKADI             89h 34' 51''  + 01h 41' 59''
53   LEONARDO DUQUE                  186        COFIDIS CREDIT PAR TELEPHONE    89h 37' 16''  + 01h 44' 24''
54   JOHANN TSCHOPP                  148        BOUYGUES TELECOM                89h 40' 14''  + 01h 47' 22''
