Tour de France 2011

Number of stages 21
Distance (km) 3 630
Average speed 39.788

All about year 2011

Ranking
Starters
Stages
Jersey wearers
Stages winners

Rank                 Rider                Rider No.              Team                 Times           Gap       B P
1     CADEL EVANS                         141        BMC RACING TEAM              86h 12' 22''
2     ANDY SCHLECK                        11         TEAM LEOPARD-TREK            86h 13' 56''  + 00h 01' 34''
3     FRANK SCHLECK                       18         TEAM LEOPARD-TREK            86h 14' 52''  + 00h 02' 30''
4     THOMAS VOECKLER                     181        TEAM EUROPCAR                86h 15' 42''  + 00h 03' 20''
5     SAMUEL SANCHEZ                      21         EUSKALTEL - EUSKADI          86h 17' 17''  + 00h 04' 55''
6     DAMIANO CUNEGO                      161        LAMPRE - ISD                 86h 18' 27''  + 00h 06' 05''
7     IVAN BASSO                          91         LIQUIGAS-CANNONDALE          86h 19' 45''  + 00h 07' 23''
8     THOMAS DANIELSON                    52         TEAM GARMIN - CERVELO        86h 20' 37''  + 00h 08' 15''
9     JEAN-CHRISTOPHE PÉRAUD              108        AG2R LA MONDIALE             86h 22' 33''  + 00h 10' 11''
10    PIERRE ROLLAND                      188        TEAM EUROPCAR                86h 23' 05''  + 00h 10' 43''
11    REIN TAARAMÄE                       151        COFIDIS LE CREDIT EN LIGNE   86h 23' 51''  + 00h 11' 29''
12    KEVIN DE WEERT                      124        QUICK STEP CYCLING TEAM      86h 28' 51''  + 00h 16' 29''
13    JÉRÔME COPPEL                       211        SAUR-SOJASUN                 86h 30' 58''  + 00h 18' 36''
14    ARNOLD JEANNESSON                   134        FDJ                          86h 33' 42''  + 00h 21' 20''
15    HAIMAR ZUBELDIA AGIRRE              79         TEAM RADIOSHACK              86h 38' 45''  + 00h 26' 23''
16    CHRISTIAN VANDE VELDE               58         TEAM GARMIN - CERVELO        86h 39' 34''  + 00h 27' 12''
17    RYDER HESJEDAL                      55         TEAM GARMIN - CERVELO        86h 39' 36''  + 00h 27' 14''
18    PETER VELITS                        179        HTC - HIGHROAD               86h 41' 16''  + 00h 28' 54''
19    JELLE VANENDERT                     38         OMEGA PHARMA - LOTTO         86h 45' 03''  + 00h 32' 41''
21    ROB RUIJGH                          208        VACANSOLEIL-DCM              86h 45' 26''  + 00h 33' 04''
